,P r o t o - I n d o - E r o p a,A r t i,K a t a - k a t a   k e r a b a t   n o n - J e r m a n i k,P e r u b a h a n,P r o t o - J e r m a n i k,K a t a - k a t a   J e r m a n i k
0,*pṓds,"""kaki""","Latin: pēs, pedis, Latvia: pēda, Lituania: pėda, Rusia: под (pod) ""di bawah; lantai"", Sanskerta: pāda, Yunani Kuno: πούς, ποδός (poús, podós)",*p > f [ɸ],*fōt-,"Denmark: fod, Frisia Barat: foet, Gothik: fōtus, Inggris: foot, Jerman: Fuß, Faroe, Islandia: fótur, Norwegia, Swedia: fot"
1,trit(y)ós,"""ketiga""","Albanian: tretë, Latin: tertius, Lituania: trečias, Rusia: третий (tretij), Sanskerta: treta, Wales: trydydd,Yunani Kuno: τρίτος (tritos),",*t > þ [θ],*þridjô,"Denmark, Swedia: 'tredje, Frisia Kuno: thredda, Gothik: þridja, Inggris: third, Islandia: þriðji, Sakson Kuno: thriddio"
2,*ḱwón- ~ *ḱun-,"""anjing""","Latin: canis, Wales: ci (bentuk jamak cwn), Yunani Kuno: κύων (kýōn)",*k > h [x],*hundaz,"Belanda: hond, Denmark, Norwegia, Swedia: hund, Gothik: hunds, Islandia, Faroe: hundur, Inggris: hound, Jerman: Hund"
3,*kʷód,"""apa""","Irlandia: cad, Latin: quod, Lituania: kas, Rusia: ко- (ko-), Sanskerta: kád",*kʷ > hw [xʷ],*hwat,"Denmark: hvad, Faroe: hvat, Gothik: hunds, Inggris: what, Islandia: hvað, Norwegia: hva"
4,*dʰewb-,"""dalam""",Lituania: dubùs,*b > p [p],*deupaz,"Belanda: diep, Frisia Barat: djip, Gothik: diups, Inggris: deep, Islandia: djúpur, Swedia: djup"
5,*déḱm̥t,"""sepuluh""","Irlandia: deich, Latin: decem, Lituania: dešimt, Rusia: десять (desyat'), Sanskerta: daśan, Yunani: δέκα (déka)",*d > t [t],*tehun,"Belanda: tien, Denmark, Norwegia: ti, Faroe: tíggju, Gothik: taíhun, Inggris: ten, Islandia: tíu, Swedia: tio"
6,*gel-,"""sejuk""","Latin: gelū, Lituania: gelmenis, gelumà, Yunani: γελανδρός (gelandrós)",*g > k [k],*kaldaz,"Belanda: koud, Denmark: kold, Faroe, Islandia: kaldur, Frisia Barat: kâld, Inggris: cold, Jerman: kalt, Norwegia: kald, Swedia: kall"
7,*gʷih₃wós,"""hidup""","Lituania: gyvas, Rusia:, живой (živoj), Sanskerta jīvá-",*gʷ > kw [kʷ],*kwi(k)waz,"Belanda: kwiek, Denmark: kvik, Faroe, Islandia: kvikur, Frisia Barat: kwik, kwyk, Gothik: qius, Inggris: quick, Jerman: keck, Norwegia: kvikk, Swedia: kvick"
8,*bʰréh₂tēr,"""saudara laki-laki""","Sanskerta: bhrātṛ, Yunani Kuno: φρατήρ (phrātēr) (""anggota persaudaraan"")",*bʰ > b [b]/[β],*brōþēr,"Belanda, Frisia Barat: broeder, Denmark, Norwegia, Swedia: broder, Faroe, Islandia: bróðir, Gothik: broþar, Inggris: brother, Jerman: Bruder"
9,*médʰu,"""madu""","Sanskerta: mádhu, Yunani Homer: μέθυ (methu)",*dʰ > d [d]/[ð],*meduz,"Belanda: mede, Denmark, Norwegia: mjød, Frisia Barat: meede, Faroe: mjöður, Inggris: mead, Swedia: mjöd"
10,*steygʰ-,"""berjalan, melangkah""","Sanskerta: stighnoti, Yunani Kuno: στείχειν (steíkhein)",*gʰ > g [ɡ]/[ɣ],*stīganą,"Belanda: stijgen, Denmark, Norwegia: stige, Faroe, Islandia: stíga, Gothik steigan, Inggris Kuno: stīgan, Jerman: steigen (semuanya berarti ""naik"")"
11,*sengʷʰ-,"""nyanyi""","Yunani Homer: ὀμφή (omphē) ""suara""",*gʷʰ > gw [ɡʷ](setelah n),*singwaną,"Belanda: zingen, Frisia Barat: sjonge, Denmark: synge/sjunge, Faroe, Islandia: syngja, Gothik siggwan, Inggris: sing, Islandia Kuno: syngva, syngja, Jerman: singen, Swedia: sjunga"
12,*gʷʰermós,"""hangat""","Avesta: garəmó, Prusia Kuno: gorme, Sanskerta: gharmá-","*gʷʰ > gw > {b, g w}(selebihnya bergabung dengan g dan w yang sudah ada)",*warmaz,"Belanda, Jerman: warm, Frisia Barat: waarm, Inggris: warm, Islandia: varmur, Swedia: varm"
