,P e m i l u,P e m i m p i n,S u a r a,S u a r a,K u r s i,K u r s i,P o s i s i,P e m e r i n t a h a n
0,1900,Keir Hardie,62698,1.8,2 / 670,,5th,Konservatif–Unionis Liberal
1,1906,Keir Hardie,321663,5.7,29 / 670,27.0,ke-4,Liberal
2,Jan-1910,Arthur Henderson,505657,7.6,40 / 670,11.0,4th,Minoritas Liberal
3,Dec-1910,George Nicoll Barnes,371802,7.1,42 / 670,2.0,4th,Minoritas Liberal
4,1918[fn 1],William Adamson,2245777,21.5,57 / 707,15.0,4th,Liberal–Konservatif
5,1922,J. R. Clynes,4076665,29.7,142 / 615,85.0,ke-2,Konservatif
6,1923,Ramsay MacDonald,4267831,30.7,191 / 625,49.0,ke-2,Minoritas Buruh
7,1924,Ramsay MacDonald,5281626,33.3,151 / 615,40.0,ke-2,Konservatif
8,1929[fn 2],Ramsay MacDonald,8048968,37.1,287 / 615,136.0,ke-1,Minoritas Buruh
9,1931,Arthur Henderson,6339306,30.8,52 / 615,235.0,ke-2,Buruh Nasional-Konservatif–Liberal
10,1935,Clement Attlee,7984988,38.0,154 / 615,102.0,ke-2,Konservatif–Buruh Nasional–Nasional Liberal
11,1945,Clement Attlee,11967746,47.7,393 / 640,239.0,ke-1,Buruh
12,1950,Clement Attlee,13266176,46.1,315 / 625,78.0,ke-1,Buruh
13,1951,Clement Attlee,13948883,48.8,295 / 625,20.0,ke-2,Konservatif
14,1955,Clement Attlee,12405254,46.4,277 / 630,18.0,ke-2,Konservatif
15,1959,Hugh Gaitskell,12216172,43.8,258 / 630,19.0,ke-2,Konservatif
16,1964,Harold Wilson,12205808,44.1,317 / 630,59.0,ke-1,Buruh
17,1966,Harold Wilson,13096629,48.0,364 / 630,47.0,ke-1,Buruh
18,1970[fn 3],Harold Wilson,12208758,43.1,288 / 630,76.0,ke-2,Konservatif
19,Feb-1974,Harold Wilson,11645616,37.2,301 / 635,13.0,ke-1,Minoritas Buruh
20,Oct-1974,Harold Wilson,11457079,39.2,319 / 635,18.0,ke-1,Buruh
21,1979,James Callaghan,11532218,36.9,269 / 635,50.0,ke-2,Konservatif
22,1983,Michael Foot,8456934,27.6,209 / 650,60.0,ke-2,Konservatif
23,1987,Neil Kinnock,10029807,30.8,229 / 650,20.0,ke-2,Konservatif
24,1992,Neil Kinnock,11560484,34.4,271 / 651,42.0,ke-2,Konservatif
25,1997,Tony Blair,13518167,43.2,419 / 659,148.0,ke-1,Buruh
26,2001,Tony Blair,10724953,40.7,413 / 659,6.0,ke-1,Buruh
27,2005,Tony Blair,9562122,35.3,356 / 646,57.0,ke-1,Buruh
28,2010,Gordon Brown,8601441,29.1,258 / 650,98.0,ke-2,Konservatif–DemLib
29,2015,Ed Miliband,9339818,30.5,232 / 650,26.0,ke-2,Konservatif
30,2017,Jeremy Corbyn,12874985,40.0,262 / 650,30.0,ke-2,Minoritas Konservatifdengan dukungan dan suplai DUP
31,2019,Jeremy Corbyn,10269076,32.2,202 / 650,60.0,ke-2,konservatif
