,U n s u r   d i e t,A K G   [ m g ] [ 1 0 ],U L   [ m g ] [ 1 1 ] [ 1 2 ],J u m l a h,K a t e g o r i,S u m b e r   m a k a n a n   d e n g a n k e p a d a t a n   n u t r i e n   t i n g g i,K e t i d a k c u k u p a n,B e r l e b i h a n
0,Kalium,,NE,Kuantitas,Elektrolit sistemik dan esensial dalam koregulasi ATP dengan natrium,"ubi jalar, tomat, kentang, kacang polong, kacang-kacangan, produk susu, seafood, pisang, prem, wortel, jeruk[13]",hipokalemia,hiperkalemia
1,Klorin,,3600,Kuantitas,Diperlukan untuk produksi asam klorida di dalam lambung dan fungsi pompa seluler,Garam dapur (natrium klorida) adalah sumber makanan utama.,hipokloremia,hiperkloremia
2,Natrium,,2300,Kuantitas,Elektrolit sistemik dan esensial dalam koregulasi ATP dengan natrium,"Garam dapur (natrium klorida, sumber utama), sayuran laut, susu, dan bayam.",hiponatremia,hipernatremia
3,Kalsium,,2500,Kuantitas,"Dibutuhkan untuk kesehatan otot, jantung dan sistem pencernaan, membangun tulang, mendukung sintesis dan fungsi sel darah","produk susu, telur, ikan kalengan dengan tulang (salmon, sarden), sayuran hijau, kacang, biji, tahu, timi, oregano, dil, kayu manis.[14]",hipokalsemia,hiperkalsemia
4,Fosfor,,4000,Kuantitas,"Komponen tulang (lihat apatit), sel, pengolahan energi, DNA dan ATP (sebagai fosfat) dan banyak fungsi lainnya","daging merah, makanan olahan susu, ikan, unggas, roti, nasi, oat.[15][16] Dalam konteks biologis, biasanya terlihat sebagai fosfat[17]",hipofosfatemia,hiperfosfatemia
5,Magnesium,,350,Kuantitas,Diperlukan untuk pengolahan ATP dan untuk tulang belulang,"Bayam, legume, kacang polong, biji, biji-bijian, selai kacang, alpukat[18]","hipomagnesemia,defisiensi magnesium",hipermagnesemia
6,Besi,,45,Renik,"Diperlukan untuk banyak protein dan enzim, terutama hemoglobin untuk mencegah anemia","daging, seafood, kacang, buncis, cokelat hitam[19]",kekurangan zat besi,kelainan kelebihan besi
7,Seng,,40,Renik,"Pervasif dan diperlukan untuk beberapa enzim seperti karboksipeptidase, alkohol dehidrogenase, dan karbonat anhidrase","Tiram*, daging merah, unggas, kacang, biji-bijian, produk susu[20]",defisiensi seng,keracunan seng
8,Mangan,,350,Renik,Sebuah kofaktor dalam fungsi enzim,"Biji-bijian, legume, biji, kacang, sayuran berdaun, teh, kopi[21]",defisiensi mangan,manganisme
9,Tembaga Artikel utama untuk kategori ini adalah Tembaga pada kesehatan.,,11,Renik,"Komponen yang dibutuhkan untuk banyak enzim redoks, termasuk sitokrom c oksidase","Liver, seafood, tiram, kacang, biji; beberapa: whole grains, legume[21]",defisiensi tembaga,keracunan tembaga
10,Iodium,,1.1,Renik,"Diperlukan untuk sintesis hormon tiroid, tiroksin dan triiodotironin dan untuk mencegah gondok: Iodium dalam biologi","Rumput laut (kelp atau kombu)*, biji-bijian, telur, garam beriodium[22]",defisiensi iodium,iodisme Hipertiroidisme[23]
11,Kromium,0.120,NE,Renik,"Terlibat dalam metabolisme glukosa dan lipida, walaupun mekanisme kerjanya dalam tubuh dan jumlah yang dibutuhkan untuk kesehatan optimal belum didefinisikan dengan baik.[24][25]","Brokoli, jus anggur (terutama yang merah), daging, produk gandum utuh[26]",defisiensi kromium,keracunan kromium
12,Molibdenum,,2,Renik,"Oksidase xantin oksidase, aldehida oksidase, dan sulfit oksidase[27]","Legume, gandum utuh, kacang[21]",defisiensi molibdenum,keracunan molibdenum[28]
13,Selenium,,0.4,Renik,Penting untuk aktivitas enzim antioksidan seperti glutation peroksidase,"kacang Brazil, seafood, jerohan, daging, biji-bijian, produk susu, telur[29]",defisiensi selenium,selenosis
14,Kobalt,none,NE,Renik,"Diperlukan dalam sintesis vitamin B12, tetapi karena bakteri diperlukan untuk mensintesis vitamin, biasanya dianggap sebagai bagian dari vitamin B12",,,keracunan kobalt
