,K o o r d i n a t,"N e g a r a ,   w i l a y a h ,   a t a u   l a u t",C a t a t a n
0,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}0°N 0°E﻿ / ﻿0°N 0°E",Samudra Atlantik,Teluk Guinea
1,0°0′N 6°31′E﻿ / ﻿0.000°N 6.517°E,Sao Tome dan Principe,Ilhéu das Rolas
2,0°0′N 6°31′E﻿ / ﻿0.000°N 6.517°E,Samudra Atlantik,Teluk Guinea
3,0°0′N 9°21′E﻿ / ﻿0.000°N 9.350°E,Gabon,
4,0°0′N 13°56′E﻿ / ﻿0.000°N 13.933°E,Republik Kongo,
5,0°0′N 17°46′E﻿ / ﻿0.000°N 17.767°E,Republik Demokratik Kongo,Melewati 9 km di selatan Butembo
6,0°0′N 29°43′E﻿ / ﻿0.000°N 29.717°E,Uganda,Melewati 32 km di selatan Kampala
7,0°0′N 32°22′E﻿ / ﻿0.000°N 32.367°E,Danau Victoria,Melewati beberapa pulau di Uganda
8,0°0′N 34°0′E﻿ / ﻿0.000°N 34.000°E,Kenya,Melewati 6 km di utara Kisumu
9,0°0′N 41°0′E﻿ / ﻿0.000°N 41.000°E,Somalia,
10,0°0′N 42°53′E﻿ / ﻿0.000°N 42.883°E,Samudra Hindia,Melewati antara Huvadhu Atoll dan Fuvahmulah di Maladewa
11,0°0′N 98°12′E﻿ / ﻿0.000°N 98.200°E,Indonesia,"Pulau-pulau Batu, Sumatra dan Kepulauan Lingga"
12,0°0′N 104°34′E﻿ / ﻿0.000°N 104.567°E,Selat Karimata,
13,0°0′N 109°9′E﻿ / ﻿0.000°N 109.150°E,Indonesia,"Pontianak, Kalimantan"
14,0°0′N 117°30′E﻿ / ﻿0.000°N 117.500°E,Selat Makassar,
15,0°0′N 119°40′E﻿ / ﻿0.000°N 119.667°E,Indonesia,Sulawesi
16,0°0′N 120°5′E﻿ / ﻿0.000°N 120.083°E,Teluk Tomini,
17,0°0′N 124°0′E﻿ / ﻿0.000°N 124.000°E,Laut Maluku,
18,0°0′N 127°24′E﻿ / ﻿0.000°N 127.400°E,Indonesia,Kayoa dan Kepulauan Halmahera
19,0°0′N 127°53′E﻿ / ﻿0.000°N 127.883°E,Laut Halmahera,
20,0°0′N 129°20′E﻿ / ﻿0.000°N 129.333°E,Indonesia,Pulau Gebe
21,0°0′N 129°21′E﻿ / ﻿0.000°N 129.350°E,Samudra Pasifik,"melewati 570 m di utara Pulau Waigeo, Indonesia Melewati 13 km di selatan Aranuka atoll, Kiribati Melewati 21 km di selatan Pulau Baker, Amerika Serikat"
22,0°0′N 91°35′W﻿ / ﻿0.000°N 91.583°W,Ekuador,Pulau Isabela di Kepulauan Galápagos
23,0°0′N 91°13′W﻿ / ﻿0.000°N 91.217°W,Samudra Pasifik,
24,0°0′N 80°6′W﻿ / ﻿0.000°N 80.100°W,Ekuador,"Melewati 24 km di utara Quito, di dekat Mitad del Mundo"
25,0°0′N 75°32′W﻿ / ﻿0.000°N 75.533°W,Kolombia,"Melewati 4,3 km di utara perbatasan dengan Peru"
26,0°0′N 70°3′W﻿ / ﻿0.000°N 70.050°W,Brasil,Amazonas Roraima Amazonas Pará Amapá Pará - kepulauan di mulut Sungai Amazon
27,0°0′N 49°20′W﻿ / ﻿0.000°N 49.333°W,Samudra Atlantik,
