,F i r a u n,N a m a   H o r u s,K e k u a s a a n   ( S M ),I s t r i,C a t a t a n
0,Harsiese A,Hedjkheperre-Setpenamun,880 – 860 SM,Isetweret I,Raja independen di Thebes; Berkuasa selama masa Takelot I dan Osorkon II
1,Takelot II,Hedjkheperre-Setpenre,840 – 815 SM,Karomama D Tashep Tabeketenasket A,"Kontemporer dengan firaun dinasti keduapuluh dua, Shoshenq III, yang menguasai Mesir Hilir"
2,Pedubast I,Usermaatre-Setpenamun,829 – 804 SM,,Terlibat dalam perang saudara dengan Takelot II/Putra Mahkota Osorkon B.
3,Iuput I,??,829 – 804 SM,,
4,Shoshenq VI,Usermaatre-Meryamun,804 – 798 SM,,Menggantikan Pedubast I di Thebes dan menguasai Mesir Hulu selama 6 tahun
5,Osorkon III,Usermaatre-Setpenamun,798 – 769 SM,Tentsai A Karoatjet,Terlibat dalam perang saudara melawan Pedubast I dan Shoshenq VI.
6,Takelot III,Usermaatre,774 – 759 SM,Kakat Irtiubast,Putra sulung Osorkon III
7,Rudamun,Usermaatre-Setpenamun,759 – 739 SM,Tadi[...],Adik dan penerus Takelot III. Seorang raja yang buruk.
8,Ini,??,739 – 734 SM,,Hanya menguasai Thebes pada masanya.
9,Peftjauwybast,Neferkare,734 – 724 SM,Irbastwedjanefu Tashereniset I,Menantu Rudamun
