,L o g o,L o g o . 1,N a m a,S i n g k a t a n   a t a u   S e b u t a n,P e m i m p i n,I d e o l o g y,M d B s,M E P s,P o l i t i c a l   P o s i t i o n,E P - g r o u p,N o t e s
0,,,Persatuan Demokrat Kristen Jerman Christlich Demokratische Union Deutschlands,CDU,Angela Merkel,"Christian democracy,[4] Liberal conservatism",255,29,Centre-right,EPP,[A]
1,,,Uni Sosial Kristen di Bayern Christlich-Soziale Union in Bayern,CSU,Horst Seehofer,"Christian democracy, Conservatism, Regionalism",56,5,Centre-right[5][6][7],EPP,[A]
2,,,Partai Demokrat Sosial Jerman Sozialdemokratische Partei Deutschlands,SPD,Martin Schulz,Social democracy,193,27,Centre-left,S&D,
3,,,Kiri Die Linke,LINKE,Katja Kipping and Bernd Riexinger,"Democratic socialism, Left-wing populism",64,7,Left-wing,GUE/NGL,
4,,,Aliansi 90/Partai Hijau Bündnis 90/Die Grünen,GRÜNE,Simone Peter and Cem Özdemir,Green politics,63,11,Centre-left,Greens/EFA,
5,,,Reformer Konservatif Liberal Liberal-Konservative Reformer,LKR,Bernd Lucke,"Liberal conservatism, Euroscepticism, Economic liberalism",0,5,Centre-right,ECR,
6,,,Partai Demokrat Bebas Freie Demokratische Partei,FDP,Christian Lindner,"Liberalism, Classical liberalism[8][9]",0,3,Centre to Centre-right,ALDE,
7,,,Alternatif untuk Jerman Alternative für Deutschland,AfD,Frauke Petry and Jörg Meuthen,"German nationalism,[10][11] Euroscepticism,[12] National conservatism,[13] Right-wing populism[14]",0,2,Right-wing,EFDD / ENF,
8,,,Pemilih Bebas Freie Wähler,FREIE WÄHLER,Hubert Aiwanger,"Populism, Localism, Direct Democracy, Economic liberalism, Liberal conservatism",0,1,Kanan tengah,ALDE,
9,,,Partai Bajak Laut Jerman Piratenpartei Deutschland,PIRATEN,Stefan Körner,"Pirate politics, Social liberalism",0,1,Sentrisme ke kanan tengah,Greens/EFA,
10,,,Partai Nasional Demokrat Jerman Nationaldemokratische Partei Deutschlands,NPD,Frank Franz,"Neo-Nazism, Pan-Germanism, Anti-immigration",0,1,Kanan jauh,Alliance for Peace and Freedom,
11,,,Partai Keluarga Jerman Familien-Partei Deutschlands,FAMILIE,Maria Hartmann,Social conservatism,0,1,Kanan tengah,ECR,
12,,,Partai Demokrat Ekologis Ökologisch-Demokratische Partei,ÖDP,Sebastian Frankenberger,Green conservatism,0,1,Kanan tengah,Greens/EFA,
13,,,"Die PARTEI Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",Die PARTEI,Martin Sonneborn,Satire,0,1,Tak berpolitik,None,
14,"A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere.","A CDU and CSU membentuk kelompok CDU/CSU di Bundestag; CSU runs only in Bavaria, CDU elsewhere."
