,B e n d e r a,P e t a,N a m a   p e n d e k,N a m a   p a n j a n g,N a m a   a s l i   p e n d e k,N a m a   a s l i   p a n j a n g,I b u   k o t a
0,,,Albania,Republik Albania,bahasa Albania: Shqiperia,bahasa Albania: Republika e Shqipërisë,Tiranabahasa Albania: Tiranë
1,,,Andorra,Kepangeranan Andorra,Andorra,bahasa Katalan: Principat d'Andorrabahasa Prancis: Principauté d'AndorreSpanyol: Principado de Andorra,Andorra la Vella bahasa Katalan: Andorra la Vellabahasa Prancis: Andorre-la-VieilleSpanyol: Andorra la Vieja
2,,,Armenia[1],,,bahasa Armenia: Երևան or Երեւան,Yerevan
3,,,Azerbaijan[1],,Republik Azerbaijan,bahasa Azeri: Azərbaycan Respublikası,Baku
4,,,Austria,Republik Austria,bahasa Jerman: Österreich,bahasa Jerman: Republik Österreich,Winabahasa Jerman: Wien
5,,,Belanda[2][3],Kerajaan Belanda,bahasa Belanda: Nederland,bahasa Belanda: Koninkrijk der Nederlanden,Amsterdam (ibu kota)Den Haag (kursi pemerintahan)bahasa Belanda: 's-Gravenhage (Den Haag)
6,,,Belarus,Republik Belarus,bahasa Rusia dan bahasa Belarus: Беларусьbaca: Byelarus,bahasa Belarus: Рэспубліка Беларусьbahasa Rusia: Республика Беларусьbaca: Respublika Byelarus,Minskbahasa Belarus: Мінскbahasa Rusia: Минск
7,,,Belgia,Kerajaan Belgia,bahasa Belanda: Belgiëbahasa Prancis: Belgiquebahasa Jerman: Belgien,bahasa Belanda: Koninkrijk Belgiëbahasa Prancis: Royaume de Belgiquebahasa Jerman: Königreich Belgien,Brusselbahasa Belanda: Brusselbahasa Prancis: Bruxellesbahasa Jerman: Brüssel
8,,,Bosnia-Herzegovina,Bosnia dan Herzegovina,,bahasa Bosnia: Bosna i Hercegovinabahasa Bosnia: Босна и Херцеговина,Sarajevobahasa Bosnia: Sarajevobahasa Bosnia: Сарајево
9,,,Bulgaria,Republik Bulgaria,bahasa Bulgaria: България,bahasa Bulgaria: Република Българияbaca: Republika Balgariya,Sofiabahasa Bulgaria: Софияbaca: Sofiya
10,,,Kroasia,Republik Kroasia,bahasa Kroasia: Hrvatska,bahasa Kroasia: Republika Hrvatska,Zagreb
11,,,Siprus[4],Republik Siprus,bahasa Yunani: Κύπροςbaca: Kýprosbahasa Turki: Kıbrıs,bahasa Yunani: Κυπριακή Δημοκρατίαbaca: Kypriakí Dhimokratíabahasa Turki: Kıbrıs Cumhuriyeti,Nikosiabahasa Yunani: Λευκωσίαbahasa Turki: Lefkoşa
12,,,Ceko,Republik Ceko,bahasa Ceska: Česko,bahasa Ceska: Česká republika,Prahabahasa Ceska: Praha
13,,,Denmark,Kerajaan Denmark,bahasa Denmark: Danmark,bahasa Denmark: Kongeriget Danmark,Kopenhagenbahasa Denmark: København
14,,,Estonia,Republik Estonia,bahasa Estonia: Eesti,bahasa Estonia: Eesti Vabariik,Tallinn
15,,,Finlandia,Republik Finlandia,bahasa Finlandia: Suomibahasa Swedia: Finland,bahasa Finlandia: Suomen tasavaltabahasa Swedia: Republiken Finland,Helsinkibahasa Finlandia: Helsinkibahasa Swedia: Helsingfors
16,,,Prancis,Republik Prancis,bahasa Prancis: France,bahasa Prancis: République française,Paris
17,,,Georgia[1],Republik Georgia,,bahasa Georgia: საქართველოbaca: Sakartvelo,Tbilisibahasa Georgia: თბილისი
18,,,Jerman,Republik Federal Jerman,bahasa Jerman: Deutschland,bahasa Jerman: Bundesrepublik Deutschland,Berlin
19,,,Yunani,Republik Hellenik,bahasa Yunani: Ελλάδα/ Ελλάςbaca: Ellada/ Ellas,bahasa Yunani: Ελληνική Δημοκρατίαbaca: Elliniki Dimokratia,Athenabahasa Yunani: Αθήναbaca: Athina
20,,,Hongaria,Republik Hongaria,bahasa Hungaria: Magyarország,bahasa Hungaria: Magyar Köztársaság,Budapest
21,,,Islandia,Republik Islandia,bahasa Islandia: Ísland,bahasa Islandia: Lýðveldið Ísland,Reykjavikbahasa Islandia: Reykjavíkurborg
22,,,Irlandia,Republik Irlandia,bahasa Irlandia: Éire,bahasa Irlandia: Poblacht na hÉireann,Dublinbahasa Irlandia: Baile Átha Cliath
23,,,Italia,Republik Italia,bahasa Italia: Italia,bahasa Italia: Repubblica Italiana,Romabahasa Italia: Roma
24,,,Kazakhstan[5],Republik Kazakhstan,bahasa Kazakh: Қазақстанbaca: Qazaqstanbahasa Rusia: Казахстанbaca: Kazakhstán,bahasa Kazakh: Қазақстан Республикасыbaca: Qazaqstan Respublïkasıbahasa Rusia: Республика Казахстанbaca: Respublika Kazakhstan,Nursultanbahasa Kazakh: Нұр-Cұлтан
25,,,Latvia,Republik Latvia,bahasa Latvia: Latvija,bahasa Latvia: Latvijas Republika,Rigabahasa Latvia: Rīga
26,,,Liechtenstein,Kepangeranan Liechtenstein,bahasa Jerman: Liechtenstein,bahasa Jerman: Fürstentum Liechtenstein,Vaduz
27,,,Lithuania,Republik Lituania,bahasa Lituania: Lietuva,bahasa Lituania: Lietuvos Respublika,Vilnius
28,,,Luksemburg,Kadipaten Agung Luksemburg,bahasa Luksemburg: Lëtzebuergbahasa Prancis: Luxembourgbahasa Jerman: Luxemburg,bahasa Luksemburg: Groussherzogtum Lëtzebuergbahasa Prancis: Grand-Duché de Luxembourgbahasa Jerman: Großherzogtum Luxemburg,Luxembourg Citybahasa Luksemburg: Stad Lëtzebuergbahasa Prancis: Ville de Luxembourgbahasa Jerman: Luxemburg Stadt
29,,,Makedonia Utara,Republik Makedonia Utara,bahasa Makedonia: Северна Македонијаbaca: Severna Makedonijabahasa Albania: Maqedonia e Veriut,bahasa Makedonia: Република Северна Македонијаbaca: Republika Severna Makedonijaabahasa Albania: Republika e Maqedonisë së Veriut,Skopjebahasa Makedonia: Скопје
30,,,Malta,Republik Malta,bahasa Malta: Malta,bahasa Malta: Ir-Repubblika ta' Malta,Vallettabahasa Malta: Il-Belt Valletta
31,,,Moldova,Republik Moldova,bahasa Rumania: Moldova,bahasa Rumania: Republica Moldova,Kishinevbahasa Rumania: Chişinău
32,,,Monako,Kepangeranan Monako,bahasa Prancis: Monacobahasa Monégasque: Múnegubahasa Ositan: Móneguebahasa Italia: Monaco,bahasa Prancis: Principauté de Monacobahasa Monégasque: Principatu de Múnegubahasa Ositan: Principat de Móneguebahasa Italia: Principato di Monaco,Monaco-Ville[6]
33,,,Montenegro,Republik Montenegro,bahasa Montenegro: Crna Gorabahasa Serbia: Црна Гора,bahasa Montenegro: Republika Crna Gorabahasa Serbia: Република Црна Гора,Podgoricabahasa Serbia: Подгорица
34,,,Belanda[7][8],Kerajaan Belanda,bahasa Belanda: Nederland,bahasa Belanda: Koninkrijk der Nederlanden,Amsterdam (ibu kota)Den Haag (kursi pemerintahan)bahasa Belanda: 's-Gravenhage (Den Haag)
35,,,Norwegia,Kerajaan Norwegia,Bokmål: NorgeNynorsk: Noreg,Bokmål: Kongeriket NorgeNynorsk: Kongeriket Noreg,Oslo
36,,,Polandia,Republik Polandia,bahasa Polski: Polska,bahasa Polski: Rzeczpospolita Polska,Warsawabahasa Polski: Warszawa
37,,,Portugal,Republik Portugal,bahasa Portugis: Portugal,bahasa Portugis: República Portuguesa,Lisboabahasa Portugis: Lisboa
38,,,Romania,,,bahasa Rumania: România,Bukaresbahasa Rumania: Municipiul Bucureşti
39,,,Rusia[5],Federasi Rusia,bahasa Rusia: Росси́яbaca: Rossiya,bahasa Rusia: Российская Федерацияbaca: Rossiyskaya Federatsiya,Moskwabahasa Rusia: Москваbaca: Moskva
