,A g a m a / k e p e r c a y a a n,J u m l a h   p e m e l u k,K e t e r a n g a n
0,Kekristenan,"2,000 - 2,200 miliar[38]",
1,Islam,"1,570 - 1,650 miliar[39][40][41]",
2,Non-Adherent (Sekuler/Ateis/Tidak Beragama/Agnostik),"1,1 miliar[42]",
3,Hinduisme,828 juta - 1 miliar[43],beberapa aliran kepercayaan seperti Ayyavazhi dan Kaharingan diakui sebagai bagian dari Hinduisme[43]
4,Buddhisme,450 juta - 1 miliar[44][45][46],
5,"Kepercayaan tradisional (di Afrika, Amerika, Asia)",400 - 500 juta[nb 1],
6,Kepercayaan tradisional Tionghoa,400 - 500 juta[47][nb 1],termasuk Taoisme dan Khonghucu
7,Sikhisme,23 juta[48],
8,Yudaisme (agama Yahudi),14 juta[44],
9,Jainisme,8 - 12 juta,beberapa komunitas Jaina dianggap suatu sekte Hinduisme[nb 2]
10,Baha'i,"7,6 - 7,9 juta[49][50]",
11,Shinto,27 - 65 juta,banyak orang Jepang yang memeluk agama Shinto dan Buddha sekaligus[51]
12,Cao Dai,1 - 3 juta[52],
13,Spiritisme,"2,5 juta[53]",
14,Tenrikyo,2 juta[54],
15,Neopaganisme,1 juta[55],"meliputi Druidisme[nb 3] Wicca, Magick, Asatru, Agama Asli Suku Indian, dll."
16,Gerakan Rastafari,700 ribu[56],
17,Unitarian Universalisme,630 ribu[57],
18,Zoroastrianisme (Majusi),145 - 210 ribu[58],
