,0,1,2
0,Daftar menurut Dana Moneter Internasional (2022)[1],Daftar menurut Dana Moneter Internasional (2022),Daftar menurut Dana Moneter Internasional (2022)
1,Rank Negara/Teritori PDB per Kapita (dalam US$) 1  Luksemburg 135.046 2  Irlandia 101.509 3  Norwegia 99.841 4  Swiss 96.930 5  Qatar 84.514 6  Brunei Darussalam 79.816 7  Singapura 79.576 8  Amerika Serikat 76.027 9  Islandia 74.417 10  Denmark 68.094 11  Australia 67.464  Australasia 64.539 12  Swedia 57.978 13  Belanda 57.836  Amerika Utara 57.408 14  Kanada 57.406 15  Israel 54.688 16  Finlandia 53.745 17  Austria 53.371 18  Belgia 52.485 19  Jerman 51.104 20  Makau 50.578 21  Uni Emirat Arab 50.349 22  San Marino 49.901 23  Hong Kong 49.850 24  Selandia Baru 49.847 25  Britania Raya 49.761 26  Perancis 44.747 27  Andorra 41.390 28  Jepang 39.423 29  Kuwait 38.755 30  Puerto Riko 37.823 31  Taiwan 36.501 32  Korea Selatan 34.994 33  Italia 34.777  Eropa 34.231 34  Malta 33.904 35  Bahama 32.077 36  Siprus 30.663 37  Slovenia 30.159 38  Spanyol 30.157 39  Bahrain 29.103 40  Aruba 28.863 41  Arab Saudi 28.759 42  Estonia 27.791 43  Republik Ceko 27.609 44  Lithuania 25.015 45  Portugal 24.495 46  Oman 23.416 47  Slowakia 21.665 48  Latvia 21.311 49  Yunani 20.940 50  Hungaria 20.336 51  Iran 20.261 52  Saint Kitts dan Nevis 19.117 53  Barbados 19.110 54  Polandia 18.506 55  Uruguay 18.083 56  Trinidad dan Tobago 17.921 57  Seychelles 17.693 58  Kroasia 17.338 59  Guyana 17.108 60  Antigua dan Barbuda 16.085 61  Panama 16.038 62  Chili 15.941 63  Romania 14.825 64  Republik Rakyat Tiongkok[n 1] 14.096 65  Maladewa 14.078,Rank Negara/Teritori PDB per Kapita (dalam US$) 66  Palau 13.706  Dunia 13.447 67  Malaysia 13.268 68  Bulgaria 13.101 69  Rusia 12.575 70  Kosta Rika 12.483 71  Turkmenistan 12.274 72  Argentina 12.187 73  Saint Lucia 11.364 74  Guinea Khatulistiwa 10.902 75  Grenada 10.472 76  Gabon 10.390 77  Republik Dominika 10.259 78  Meksiko 10.166 79  Nauru 10.005 80  Kazakhstan 10.003 81  Montenegro 9.673 82  Serbia 9.503  Asia-Pasifik 8.895 83  Mauritius 8.892 84  Saint Vincent dan Grenadine 8.595 85  Dominika 8.575 86  Brazil 8.570  Amerika Selatan 8.342 87  Turki 8.081 88  Botswana 7.519 89  Thailand 7.449 90  Libya 7.197 91  Azerbaijan 7.165 92  Irak 7.038 93  Peru 7.034 94  Afrika Selatan 6.979 95  Makedonia Utara 6.863 96  Kolombia 6.807 97  Bosnia dan Herzegovina 6.726 98  Ekuador 6.412 99  Belarus 6.384 100  Albania 6.260 101  Tuvalu 6.047 102  Jamaika 5.730 103  Fiji 5.685 104  Paraguay 5.626 105  Georgia 5.618 106  Moldova 5.435 107  Kosovo 5.355 108  Tonga 5.283 109  Mongolia 5.206 110  Namibia 5.016 111  Guatemala 4.864 112  Suriname 4.843 113  Ukraina 4.828 114  Kepulauan Marshall 4.756 115  Armenia 4.741 116  Indonesia 4.691 117  El Salvador 4.689 118  Yordania 4.691 119  Belize 4.520 120  Aljazair 4.294 121  Mesir 4.162 122  Vietnam 4.122 123  Federasi Mikronesia 4.066 124  Samoa 4.059 125  Eswatini 4.036 126  Lebanon 4.003 127  Angola 3.793 128  Djibouti 3.775 129  Tunisia 3.763,Rank Negara/Teritori PDB per Kapita (dalam US$) 130  Sri Lanka 3.699 131  Filipina 3.687 132  Palestina[n 2] 3.682 133  Maroko 3.629 134  Tanjung Verde 3.503 135  Bhutan 3.491 136  Bolivia 3.431 137  Papua Nugini 3.269 138  Kongo 3.243 139  Vanuatu 3.145 140  Honduras 2.925  Suriah[n 3] 2.807 141  Pantai Gading 2.574 142  India 2.515 143  Nikaragua 2.384 144  Bangladesh 2.362 145  Nigeria 2.356 146  Kepulauan Solomon 2.334 147  Laos 2.319 148  Sao Tome and Principe 2.315 149  Ghana 2.303 150  Zimbabwe 2.301 151  Kenya 2.252  Afrika 2.182 152  Mauritania 2.141 153  Uzbekistan 2.071 154  Venezuela 1.824 155  Kamboja 1.752 156  Kiribati 1.745 157  Haiti 1.672 158  Kamerun 1.638 159  Senegal 1.609 160  Pakistan 1.562 161  Benin 1.432 162  Timor-Leste 1.402 163  Komoro 1.371 164  Zambia 1.330 165  Kirgistan 1.327 166  Myanmar 1.285 167  Tanzania 1.260 168  Lesotho 1.223 169  Nepal 1.203 170  Uganda 1.060 171  Ethiopia 1.040 172  Togo 1.000 173  Rwanda 910 174  Mali 897 175  Yaman 891 176  Burkina Faso 886 177  Guinea-Bissau 873 178  Gambia 844 179  Tajikistan 795 180  Liberia 776 181  Chad 743 182  Eritrea 701 183  Sudan 674 184  Republik Demokratik Kongo 669 185  Afghanistan 611 186  Niger 599 187  Mozambik 547 188  Malawi 545 189  Somalia 544 190  Republik Afrika Tengah 527 191  Sierra Leone 513 192  Madagaskar 504 193  Sudan Selatan 393 194  Burundi 272
2,Rank,Negara/Teritori,PDB per Kapita (dalam US$)
3,1,Luksemburg,135.046
4,2,Irlandia,101.509
5,3,Norwegia,99.841
6,4,Swiss,96.930
7,5,Qatar,84.514
8,6,Brunei Darussalam,79.816
9,7,Singapura,79.576
10,8,Amerika Serikat,76.027
11,9,Islandia,74.417
12,10,Denmark,68.094
13,11,Australia,67.464
14,,Australasia,64.539
15,12,Swedia,57.978
16,13,Belanda,57.836
17,,Amerika Utara,57.408
18,14,Kanada,57.406
19,15,Israel,54.688
20,16,Finlandia,53.745
21,17,Austria,53.371
22,18,Belgia,52.485
23,19,Jerman,51.104
24,20,Makau,50.578
25,21,Uni Emirat Arab,50.349
26,22,San Marino,49.901
27,23,Hong Kong,49.850
