,B a h a n   m a k a n a n,A l a s a n
0,Kalium nitrat (E252),"Dapat dibuat dari limbah hewani atau sayuran. Digunakan untuk pengawet, kuring, mempertahankan warna daging. Contoh pada sosis, ham, keju Belanda."
1,L-asam tartrat (E334),"Kebanyakan sebagai hasil samping industri wine, sebagai antioksidan pemberi rasa asam produk susu beku, jelly, roti, minuman, tepung telur, wine, dll."
2,"Turunan asam tartrat E335, E336, E337, E353 (dari E334)","Dapat berasal dari hasil samping industri wine antioksidan, buffer, pengemulsi, dll."
3,Gliserol/gliserin (E422),"Hasil samping pembuatan sabun, lilin dan asam lemak dari minyak/lemak (dapat berasal dari lemak hewani). Sebagai pelarut rasa, menjaga kelembaban (humektan), plasticizer pada pengemas. Bahan coating untuk daging, keju, kue, camilan, dll."
4,"Asam lemak dan turunannya, E430, E431, E433, E434, E435, E436","Dapat berasal dari turunan hasil hidrolisis lemak hewani. Pengemulsi, penstabil, E343: antibusa. Terdapat pada produk roti dan kue, donat, produk susu (es krim), desserts beku, minuman, dll."
5,Pengemulsi yang dibuat dari gliserol dan/atau asam lemak (E470 – E495),"Dapat dibuat dari hasil hidrolisis lemak hewani untuk menghasilkan gliserol dan asam lemak sebagai pengemulsi, penstabil, pengental, pemodifikasi tekstur, pelapis, pemlastis, dll. Terdapat pada Snacks, margarin, pencuci mulut, coklat, cake, puding."
6,Edible bone phosphate (E542),"Dibuat dari tulang hewan, anti craking agent, suplemen mineral. Terdapat pada makanan suplemen."
7,Asam stearat,Dapat dibuat dari lemak hewani walaupun secara komersial dibuat secara sintetik dari anticracking agent.
8,L-sistein E920,"Dapat dibuat dari bulu hewan/unggas dan di Cina dibuat dari bulu manusia. Sebagai bahan pengembang adonan, bahan dasar pembuatan perisa daging. Untuk produksi tepung dan produk roti, bumbu dan perisa."
9,Wine vinegar dan malt vinegar,"Masing-masing dibuat dari wine dan bir. Sebagai pemberi rasa bumbu-bumbu, saus, salad."
