,R a n k,N e g a r a   /   W i l a y a h,L u a s   T o t a l   ( k m 2 ),L u a s   D a r a t a n   ( k m 2 ),L u a s   P e r a i r a n   ( k m 2 ),%   p e r a i r a n,N o t e s
0,,Dunia,510.072.000,148.940.000,361.132.000,7080,
1,,Rusia,20.000.000,20.000.000,0,000,"Negara terbesar di dunia (10,995% dari daratan dunia); Bagian Eropa-nya kira-kira 4.000.000 km2, yaitu sekitar 40% dari total daratan Eropa, menjadikan Rusia sebagai negara terbesar di Eropa; dan bagian Asia, yang mencakup seluruh Asia Utara, Krimea, dengan luas sekitar 13.100.000 km2, menjadikan Rusia sebagai negara terbesar di Asia."
2,,Antarktika,10.000.000,10.000.000,0,000,"98% dari luas daratan ditutupi oleh es dan salju. Meskipun bukan sebuah negara, wilayah ini diklaim oleh sejumlah negara."
3,2,Kanada,9.984.670,9.093.507,891.163,893,"Negara berbahasa Inggris dan negara berbahasa Prancis terbesar; negara terbesar di Belahan Barat berdasarkan total luas (terbesar kedua berdasarkan luas daratan, setelah Amerika Serikat); dengan luas permukaan air terbesar. Memiliki luas daratan yang lebih kecil dari Tiongkok dan Amerika Serikat."
4,3 dan 4,Tiongkok,9.596.961- 14.400.000,9.326.410,270.550,282,"Negara terbesar di Asia, dan negara terbesar kedua di dunia berdasarkan luas daratan. Tidak termasuk Taiwan, wilayah persengketaan dengan India, dan wilayah persengketaan di kepulauan Laut Cina Selatan. Angka luas total dan luas perairan tidak termasuk semua perairan teritori.[Note 1]"
5,3 dan 4,Amerika Serikat,9.525.067 – 9.833.517[2],9.147.593 –9.147.643[2],377.424 –685.924[2],"3,96–6,97","Berdasarkan total luas, negara ini menempati posisi kedua / ketiga terluas setelah Kanada. Selain itu, negara ini adalah negara terbesar penutur bahasa Inggris dan merupakan negara terluas berdasarkan luas daratan di Belahan Bumi barat. Untuk luas wilayah daratan dan perairannya, sudah meliputi semua area pesisir dan perairan teritorial.[Note 1]"
6,6,Brasil,8.515.767,8.460.415,55.352,065,"Negara berbahasa Portugis terbesar, negara terbesar di Amerika Selatan dan sebagian besar di Belahan Selatan, serta negara dengan wilayah berdekatan terbesar di Amerika."
7,7,Australia,7.692.024,7633565,58.459,8076,"Negara berbahasa Inggris terbesar ketiga, negara terbesar di Oseania, negara tanpa perbatasan darat terbesar, dan negara terbesar sepenuhnya di Belahan Selatan.Tidak termasuk teritori Pulau Norfolk, Kepulauan Ashmore dan Cartier, Pulau Natal, Kepulauan Cocos (Keeling), Kepulauan Laut Karang, serta Pulau Heard dan Kepulauan McDonald,[6]. Tidak termasuk juga klaim Australia di Antarktika (5.896.500 km2). Data PBB sebelumnya, serta data saat ini yang ditunjukkan oleh Bank Dunia dan CIA, melaporkan sebesar 7.741.220 km2."
8,,Indonesia,5.180.053 (2.000.030),1.922.570 (742.310),3.257.483 (1.257.721),6288,Negara lintas benua yang terletak di Asia dan Oseania. Negara terbesar di Asia Tenggara. Berbentuk negara kepulauan dan merupakan negara kepulauan terbesar di dunia berdasarkan luas dan jumlah penduduk.[7]
9,,India,3.287.263,2.973.190,314.073,955,"Negara terbesar kedua di Asia dan Asia Selata.Luas total berdasarkan Encyclopædia Britannica dan termasuk disputed territories not under Indian control but claimed by India. The total area claimed by India, according to the figure given by the United Nations and the Indian government, totals 3.287.263 km2 (1.269.219 sq mi).[8] Largest Hindi-speaking country and most populous Hindu country.}}"
