,P e n y a k i t,A g e n   P e n y e b a b,S u m b e r   T r a n s m i s i
0,Amoebiasis,Entamoeba histolytica (Amoebozoa),"Air, makanan"
1,Acanthamoeba keratitis,Acanthamoeba (Amoebozoa),"Air, larutan lensa kontak terkontaminasi"
2,Giardiasis,Giardia lamblia (Metamonada),"Air, kontak"
3,Trichomoniasis,Trichomonas vaginalis (Metamonada),Kontak seksual
4,Dientamoebiasis,Dientamoeba fragilis (Metamonada),Belum jelas
5,African trypanosomiasis (penyakit tidur Afrika),Trypanosoma brucei (Kinetoplastida),Lalat thsethse (Glossina)
6,Penyakit Chagas (penyakit tidur Amerika),Trypanosoma cruzi (Kinetoplastida),Serangga Triatomine (Triatominae)
7,Leishmaniasis,Leishmania spp. (Kinetoplastida),Lalat pasir Phlebotomine (Phleotominae)
8,Balantidiasis,Balantidium coli (Ciliata),"Makanan, air"
9,Malaria,Plasmodium spp. (Apicomplexa),Nyamuk (Anopheles)
10,Toxoplasmosis,Toxoplasma gondii (Apicomplexa),"Daging yang tidak matang, kotoran kucing, infeksi janin pada kehamilan"
11,Babesiosis,Babesia spp. (Apicomplexa),Kutu rusa (Ixodes scapularis)
12,Cryptosporidiosis,Cryptosporidium spp. (Apicomplexa),Air atau makanan yang terkontaminasi fekal
13,Cyclosporiasis,Cyclospora cayetanensis (Apicomplexa),Air atau makanan yang terkontaminasi fekal
