,P e r i n g k a t,P u l a u,N e g a r a,P o p u l a s i,K e p a d a t a n   ( / k m ² )
0,1,Jawa dan Madura,Indonesia,124.000.000 (2005)[3][4],9366.0
1,2,Honshū,Jepang,103.000.000 (2005)[5][6],4518.0
2,3,Pulau Britania Raya,Britania Raya,56.800.000 (2001)[7][8],2813.0
3,4,Luzon,Filipina,46.228.000 (2007)[9][10],5389.0
4,5,Sumatra,Indonesia,45.000.000 (2005)[3][11],904.0
5,6,Taiwan,Republik Tiongkok,22.200.000 (2000)[3],657.0
6,7,Sri Lanka,Sri Lanka,20.700.000 (2005)[12],3155.0
7,8,Mindanao,Filipina,19.793.000 (2007)[9][13],2091.0
8,9,Madagaskar,Madagaskar,18.600.000 (2005)[12],341.0
9,10,Hispaniola,Haiti dan Republik Dominika,"17,400,000 (2005)[12]",2415.0
10,11,Pulau Kalimantan,"Indonesia, Malaysia, Brunei",16.000.000 (2000)[3][14],215.0
11,12,Sulawesi,Indonesia,16.000.000 (2005)[3][15],97.0
12,13,Kyūshū,Jepang,13.350.000 (2005)[5][16],371.0
13,14,Salsette (Mumbai),India,13.175.000 (2001)[17][18],30.217
14,15,Kuba,Kuba,11.075.000 (2002)[3],1033.0
