,N a m a,I S O   6 3 9 - 3,J u m l a h   p e n u t u r,D i a l e k,S u m b e r
0,Andio,bzb,1.7,-,Ethnologue
1,Bada,bhz,10.0,"Bada, Ako",Ethnologue
2,Bahonsuai,bsu,200.0,-,Ethnologue
3,Balaesang,bls,3.2,-,Ethnologue
4,Balantak,blz,30.0,-,Ethnologue
5,Bambam,ptu,22.0,"Bambam Hulu, Salu Mokanam, Bumal, Mehalaan, Pattae’, Matangnga, Issilita’, Pakkau",Ethnologue
6,Banggai,bgz,125.0,"Banggai barat, Banggai timur",Ethnologue
7,Baras,brs,250.0,-,Ethnologue
8,Batui,zbt,2.9,-,Ethnologue
9,Behoa,bep,8.0,-,Ethnologue
10,Boano,bzl,2.7,-,Ethnologue
11,Bobongko,bgb,1.5,-,Ethnologue
12,Bonerate,bna,9.5,"Bonerate, Kalaotoa",Ethnologue
13,Bungku,bkz,21.5,"Bungku, Routa, Tulambatu, Torete (To Rete), Landawe, Waia",Ethnologue
14,Busoa,bup,2.3,-,Ethnologue
15,Cia-cia,cia,79.0,"Kaesabu, Sampolawa (Mambulu-Laporo), Wabula, Masiri",Ethnologue
16,Dondo,dok,13.0,-,Ethnologue
17,Kaili Da'a,kzf,35.0,"Da'a (Pekawa, Pekava, Pakawa), Inde",Ethnologue
18,Kaili Ledo,lew,234.0,"Ledo (Palu), Doi (Pantoloan Dan Kayumalue), Ado (Pakuli), Edo, Tado (Ri Io, To ri Io, Torio, Toriu), Tara (Parigi), Rai (Sindue-Tawaili, Tawaili-Sindue), Raio (Kori), Ija (Sigi), Taa (Palolo), Ta’a (Sausu, Dolago-Sausu).",Ethnologue
19,Kaili Rai,lew,100.0,"Mamboro, Taipa, Tawaeli, Nupabomba, Wombo, Labuan, Toaya, Sindue tobata, Sirenja",Ethnologue
20,Kaili Doi,doi,27.0,"Pantoloan (Pantoloan panau, Ova, Lambagu, Wara, Kayumaboko, Limoyo), Kayumalue, Guntarano",Ethnologue
21,Kaili Unde,unz,20.0,"Lole, Ganti",Ethnologue
22,Kaimbulawa,zka,2.2,"Lontoi, Kambe-Kambero",Ethnologue
23,Kalao,kly,500.0,-,Ethnologue
24,Kamaru,kgx,3.5,-,Ethnologue
25,Kioko,ues,1.0,"Kioko, Kombowa",Ethnologue
26,Kodeoha,vko,1.5,-,Ethnologue
27,Koroni,xkq,500.0,-,Ethnologue
28,Kulisusu,vkl,22.0,-,Ethnologue
29,Kumbewaha,xks,3.4,-,Ethnologue
30,Laiyolo,lji,800.0,"Barang-Barang (Loa, Loa', Lowa), Laiyolo (Lajolo, Layolo)",Ethnologue
31,Lasalimu,llm,1.7,-,Ethnologue
32,Lauje,law,44.0,Ampibabo,Ethnologue
33,Liabuku,lix,75.0,-,Ethnologue
34,Lindu,kwl,2.0,-,Ethnologue
35,Moma,myl,5.5,-,Ethnologue
36,Mori Atas,mzq,16.1,Aikoa,Ethnologue
37,Mori Bawah,xmz,16.1,"Tambe’e, Nahina, Petasia, Soroako, Karonsie",Ethnologue
38,Moronene,mqn,37.0,"Wita Ea (Rumbia, Poleang), Tokotu’a (Tokotu'a/Kabaena)",Ethnologue
39,Muna,mnb,300.0,"Muna baku (Muna utara), Tiworo (Muna timur), Gu, Lakudo, Mawasangka, Kadatua, Siompu, Katobengke, Burukene, Laompo, Kapontori",Ethnologue
40,Napu,npy,6.0,-,Ethnologue
41,Padoe,pdo,6.0,-,Ethnologue
42,Pamona,pmf,106.0,"Pamona, Laiwonu (Iba), Rapangkaka (Aria), Tomoni, Tobau (Tobao, Tobalo, Bare'e), Tokondindi, Topada, Taa (Wana, Topotaa)",Ethnologue
43,Pancana,pnp,6.0,"Kapontori (Akido), Kalende (Lawele), Labuandiri",Ethnologue
44,Pendau,ums,4.5,-,Ethnologue
45,Rahambuu,raz,5.0,-,Ethnologue
46,Rampi,lje,8.0,"Rampi (Lambu), Rato",Ethnologue
47,Saluan,loe,74.0,"Loinang (Saluan pesisir, Lingketeng), Baloa’ Kohumamahon, Kahumamahon, Luwuk, Kintom-Pagimana-Boalemo",Ethnologue
48,Sarudu,sdu,4.0,"Nunu', Kulu (Lariang)",Ethnologue
49,Sedoa,tvw,600.0,-,Ethnologue
50,Taje,pee,350.0,-,Ethnologue
