,B a h a s a,B a h a s a . 1,K a t a,I P A,A r t i
0,Adyghe,Shapsug,хыгь,[həɡʲ],'sekarang'
1,Arab,Baku,هائل,[ˈhaːʔɪl],'besar-besaran'
2,Armenia,Armenia,հայերեն,[hɑjɛɾɛn],'bahasa Armenia'
3,Asturia,Asturia,guaḥe,[ˈɣwahe̞],'anak'
4,Avar,Avar,гьа,[ha],'sumpah'
5,Basque,Dialek Timur Laut,hirur,[hiɾur],'tiga'
6,Belanda,Belanda Utara,rood,[hoːt],'merah'
7,Belanda,Friesland,haat,[haːt],'kebencian'
8,Belanda,Holland,haat,[haːt],'kebencian'
9,Belanda,Limburg,haat,[haːt],'kebencian'
10,Bengali,Bengali,হাওয়া,[hawa],'angin'
11,Berber,Berber,aherkus,[ahǝrkus],'sepatu'
12,Chechnya,Chechnya,хIара / hara,[hɑrɐ],'ini'
13,Faroe,Faroe,hon,[hoːn],'dia (f.)'
14,Finlandia,Finlandia,hammas,[hɑmːɑs],'gigi'
15,Frisia Barat,Frisia Barat,hoeke,[ˈhukə],'sudut'
16,Georgia,Georgia,ჰავა,[hɑvɑ],'iklim'
17,Hawaii,Hawaii,haka,[haka],'rak'
18,Hindi,Baku,हम,[ˈhəm],'kita/kami'
19,Hmong,Hmong,hawm,[haɨ̰],'menghormati'
20,Hungaria,Hungaria,helyes,[hɛjɛʃ],'benar'
21,Ibrani,Ibrani,הר,[haʁ],'gunung'
22,Inggris,Inggris,high,[haɪ̯],'tinggi'
23,Italia,Toskana,i capitani,[iˌhäɸiˈθäːni],'kapten-kapten'
24,Jepang,Jepang,すはだ suhada,[su͍hada],'telanjang'
25,Jerman,Jerman,Hass,[has],'kebencian'
26,Kabardia,Kabardia,тхылъхэ,[tχɪɬhɑ],'buku-buku'
27,Korea,Korea,호랑이 horang-i,[ho̞ɾɐŋi],'harimau'
28,Laos,Laos,ຫ້າ,[haː˧˩],'lima'
29,Lezgia,Lezgia,гьек,[hek],'lem'
30,Llion,Llion,guaje,[ˈwahe̞],'anak laki-laki'
31,Lombard Timur,Val Camonica,Bresa,[brɛhɔ],'Brescia'
32,Melayu,Melayu,hari,[hari],'hari'
33,Navajo,Navajo,hastiin,[hàsd̥ìːn],
34,Norwegia,Norwegia,hatt,[hɑtː],'topi'
35,Pashtun,Pashtun,هو,[ho],'ya'
36,Persia,Persia,هفت,[hæft],'tujuh'
37,Prancis,Belgia,hotte,[ˈhɔt],'keranjang beban'
38,Pirahã,Pirahã,hi,[hì],'dia (m.)'
39,Portugis,Brazil,rápido,[ˈhapidu],'cepat'
40,Portugis,Timor Leste,rápido,[ˈhapidu],'cepat'
41,Rumania,Rumania,hăţ,[həts],'kekang'
42,Spanyol,Andalusia,higo,[ˈhiɣo̞],'tin'
43,Spanyol,Banyak dialek,obispo,[o̞ˈβ̞ihpo̞],'uskup'
44,Spanyol,Beberapa dialek,jaca,[ˈhaka],'kuda poni'
45,Swedia,Swedia,hatt,[ˈhatː],'topi'
46,Thai,Thai,ห้า,[ [haː˥˩] || 'lima',
47,Tionghoa,Kanton,河 ho4,[hɔː],'sungai'
48,Turki,Turki,halı,[häˈɫɯ],'karpet'
49,Ubykh,Ubykh,[dwaha],[dwaha],'doa'
50,Urdu,Baku,ہم,[ˈhəm],'kita/kami'
51,Vietnam,Vietnam,hiểu,[hjew˧˩˧],'mengerti'
52,Wales,Wales,haul,[ˈhaɨl],'matahari'
53,Yi,Yi,ꉐ hxa,[ha˧],'seratus'
54,Yunani,Siprus,μαχαζί,[mahaˈzi],'toko'
