,N e g a r a   K e s a t u a n,N e g a r a   F e d e r a l,O t o n o m i   d a e r a h
0,Setiap daerah memiliki perda (dibawah UU),Setiap daerah mempunyai UUD daerah yang tidak bertentangan dengan UUD negara (hukum tersendiri),Setiap daerah memiliki perda (dibawah UU)
1,Perda terikat dengan UU,UUD daerah tidak terikat dengan UU negara,Perda terikat dengan UU
2,Hanya Presiden/Raja berwenang mengatur hukum,Presiden/Raja berwenang mengatur hukum untuk negara sedangkan kepala daerah untuk daerah,Hanya Presiden/Raja berwenang mengatur hukum
3,DPRD (provinsi/negara bagian/dst) tidak punya hak veto terhadap UU negara yang disahkan DPR,DPRD (provinsi/negara bagian/dst) punya hak veto terhadap UU negara yang disahkan DPR,DPRD (provinsi/negara bagian/dst) tidak punya hak veto terhadap UU negara yang disahkan DPR
4,Perda dicabut pemerintah pusat,Perda dicabut DPR dan DPD setiap daerah,Perda dicabut pemerintah pusat
5,Sentralisasi,Desentralisasi,Semi sentralisasi
6,Bisa interversi dari kebijakan pusat,Tidak bisa interversi dari kebijakan pusat,Bisa interversi dari kebijakan pusat
7,Perjanjian dengan pihak asing/luar negeri harus melalui pusat,Perjanjian dengan pihak asing/luar negeri harus melalui pusat,Perjanjian dengan pihak asing/luar negeri harus melalui pusat
8,APBN dan APBD tergabung,APBD untuk setiap daerah dan APBN hanya untuk negara,APBN dan APBD tergabung
9,Pengeluaran APBN dan APBD dihitung perbandingan,Pengeluaran APBN dan APBD dihitung pembagian,Pengeluaran APBN dan APBD dihitung perbandingan
10,Setiap daerah tidak diakui sebagai negara berdaulat,Setiap daerah diakui sebagai negara berdaulat dan sejajar,Setiap daerah tidak diakui sebagai negara berdaulat
11,Daerah diatur pemerintah pusat,Daerah harus mandiri,Daerah harus mandiri
12,Keputusan pemda diatur pemerintah pusat,Keputusan pemda tidak ada hubungan dengan pemerintah pusat,Keputusan pemda diatur pemerintah pusat
13,Tidak ada perjanjian antar daerah jika SDM/SDA dilibatkan,Ada perjanjian antar daerah jika SDM/SDA dilibatkan,Tidak ada perjanjian antar daerah jika SDM/SDA dilibatkan
14,Masalah daerah merupakan tanggung jawab bersama,Masalah daerah merupakan tanggung jawab pemda,Masalah daerah merupakan tanggung jawab bersama
15,3 kekuasaan daerah tidak diakui,3 kekuasaan daerah diakui,3 kekuasaan daerah tidak diakui
16,Hanya hari libur nasional diakui,Hari libur terdiri dari pusat dan daerah,Hanya hari libur nasional diakui
17,Bendera nasional hanya diakui,Bendera nasional serta daerah diakui dan sejajar,Bendera nasional hanya diakui
18,Hanya bahasa nasional diakui,Beberapa bahasa selain nasional diakui setiap daerah,Hanya bahasa nasional diakui
