,N a m a,W i l a y a h,L o k a s i,C a t a t a n,T a h u n   y a n g   l a l u   ( p e r k i r a a n ),V o l u m e   m a s s a l   e j e k t a   ( p e r k i r a a n ),R e f e r e n s i
0,Letusan Toba termuda,"Kaldera Toba, Sumatra Utara","Sumatra, Indonesia",Menghasilkan 2200–4400 juta ton H2SO4,75000,"2,000–13,200 km3",[5][6][7][8][9][10][11][12]
1,Formasi Sungai Pendaratan Datar,Grup Tetagouche,"New Brunswick, Kanada","Mungkin supererupsi terbesar yang diketahui. Keberadaannya sebagai letusan tunggal diperdebatkan, dan bisa menjadi peristiwa 2,000+ km³ berganda yang muncul kurang dari satu juta tahun.",466000000,"2,000–12,000 km3",[13][14]
2,Wah Wah Springs,Kompleks Kaldera Indian Peak–Caliente,"Utah, Amerika Serikat","Letusan terbesar dari Kompleks Kaldera Indian Peak-Caliente, bertahan sebagai Tuf Wah Wah Springs; termasuk aliran piroklastik dengan tebal lebih dari 4.000 meter (13.000 ft).",30600000,"5,500–5,900 km3",[11][15]
3,Kaldera La Garita,Lapangan vulkanik San Juan,"Colorado, Amerika Serikat",Letusan Fish Canyon,27800000,"5,000 km3",[16][17]
4,Supererupsi Pendaratan Grey,Titik panas Yellowstone,Amerika Serikat,Didepositkan sebagai Ignimbrit Pendaratan Grey,8720000,"2,800 km3",[18]
5,La Pacana,Zona Vulkanik Pusat Andes,Chili,Bertanggung jawab atas Ignimbrit Antana,4000000,"2,500 km3",[19]
6,Letusan Huckleberry Ridge,Titik panas Yellowstone,"Idaho, Amerika Serikat",Tuf Huckleberry Ridge; terdiri dari tiga letusan yang berbeda dipisahkan oleh tahun hingga dekade,2100000,"2,450–2,500 km3",[10][20]
7,Taupō-nui-a-Tia,Zona Vulkanik Taupō,"Pulau Utara, Selandia Baru",Ignimbrit Whakamaru/Gunung Curl Tephra,340000,"2,000 km3",[21]
8,Lapangan Vulkanik Heise,Titik panas Yellowstone,"Idaho, Amerika Serikat",Tuf Kilgore,4500000,"1,800 km3",[22]
9,Supererupsi McMullen,Titik panas Yellowstone,"Idaho Selatan, Amerika Serikat",Ignimbrit McMullen,8990000,"1,700;km3",[18]
10,Lapangan Vulkanik Heise,Titik panas Yellowstone,"Idaho, Amerika Serikat",Tuf Blacktail,6000000,"1,500 km3",[22]
11,Cerro Guacha,Kompleks vulkanik Altiplano-Puna,"Sur Lípez, Bolivia","Ignimbrit Guacha, dua letusan yang lebih kecil diidentifikasi",5700000,"1,300 km3",[23]
12,Kaldera Mangakino,Zona Vulkanik Taupō,"Pulau Utara, Selandia Baru",Letusan Kidnappers,1080000,"1,200 km3",[24]
13,Letusan Oruanui,Zona Vulkanik Taupō,"Pulau Utara, Selandia Baru",Gunung Taupō (Danau Taupō),26500,"1,170 km3",[25]
14,Cerro Galán,Zona Vulkanik Pusat Andes,"Catamarca, Argentina","Terdiri dari tiga letusan yang berbeda, dipisahkan oleh 30-40 ribu tahun",2500000,"1,050 km3",[26]
15,Letusan Lava Creek,Titik panas Yellowstone,"Idaho, Montana, dan Wyoming, Amerika Serikat",Tuf Lava Creek; terdiri dari dua letusan berbeda yang dipisahkan oleh tahun,640000,"1,000 km3",[10][11][20]
