,P e r i n g k a t,Δ   P e r i n g k a t,N e g a r a,T i p e   r e z i m,P l u r a l i s m e   d a n   p r o s e s   p e m i l u,B e r f u n g s i n y a   p e m e r i n t a h a n,P a r t i s i p a s i   p o l i t i k,B u d a y a   p o l i t i k,K e b e b a s a n   s i p i l,S k o r   k e s e l u r u h a n,Δ   S k o r
0,1,,Norwegia,Demokrasi penuh,10.00,9.64,10.00,10.00,9.41,9.81,0.06
1,2,,Selandia Baru,Demokrasi penuh,10.00,9.29,10.00,8.75,10.00,9.61,0.24
2,3,2,Islandia,Demokrasi penuh,10.00,9.64,8.89,9.38,9.71,9.52,0.34
3,4,,Swedia,Demokrasi penuh,9.58,9.64,8.33,10.00,9.41,9.39,0.13
4,5,2,Finlandia,Demokrasi penuh,10.00,9.64,8.33,8.75,9.71,9.29,0.02
5,6,,Denmark,Demokrasi penuh,10.00,9.29,8.33,9.38,9.41,9.28,0.19
6,7,2,Swiss,Demokrasi penuh,9.58,9.29,8.33,9.38,9.12,9.14,0.24
7,8,1,Irlandia,Demokrasi penuh,10.00,8.21,8.33,10.00,9.12,9.13,0.13
8,9,2,Belanda,Demokrasi penuh,9.58,8.93,8.33,8.75,9.41,9.00,0.12
9,10,2,Taiwan,Demokrasi penuh,10.00,9.64,7.78,8.13,9.41,8.99,
10,11,2,Uruguay,Demokrasi penuh,10.00,8.93,7.78,8.13,9.71,8.91,0.06
11,12,,Kanada,Demokrasi penuh,10.00,8.57,8.89,8.13,8.82,8.88,0.01
12,13,1,Luksemburg,Demokrasi penuh,10.00,8.93,6.67,8.75,9.71,8.81,0.13
13,14,1,Jerman,Demokrasi penuh,9.58,8.57,8.33,8.13,9.41,8.80,0.13
14,15,6,Australia,Demokrasi penuh,10.00,8.57,7.78,7.50,9.71,8.71,0.19
15,16,1,Jepang,Demokrasi penuh,9.17,8.57,6.67,8.13,9.12,8.33,0.18
16,17,3,Kosta Rika,Demokrasi penuh,9.58,7.50,7.78,6.88,9.71,8.29,0.22
17,18,,Britania Raya,Demokrasi penuh,9.58,7.50,8.33,6.88,9.12,8.28,0.18
18,19,6,Chili,Demokrasi penuh,9.58,8.21,6.67,7.50,9.12,8.22,0.30
19,20,,Austria,Demokrasi penuh,9.58,7.14,8.89,6.88,8.53,8.20,0.13
20,21,2,Mauritius,Demokrasi penuh,9.17,7.86,6.11,8.75,8.82,8.14,0.06
21,22,,Prancis,Demokrasi penuh,9.58,7.86,7.78,6.88,8.24,8.07,0.08
22,22,2,Spanyol,Demokrasi penuh,9.58,7.50,7.22,7.50,8.53,8.07,0.13
23,24,8,Korea Selatan,Demokrasi penuh,9.58,8.57,7.22,6.25,8.53,8.03,0.13
24,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna,Demokrasi tidak sempurna
25,25,4,Ceko,Demokrasi tidak sempurna,9.58,6.43,7.22,7.50,9.12,7.97,0.23
26,25,9,Yunani,Demokrasi tidak sempurna,10.00,7.14,6.67,7.50,8.53,7.97,0.41
27,27,,Estonia,Demokrasi tidak sempurna,9.58,7.86,6.67,6.88,8.82,7.96,0.12
28,28,,Portugal,Demokrasi tidak sempurna,9.58,7.50,6.67,6.88,9.12,7.95,0.13
29,29,6,Israel,Demokrasi tidak sempurna,9.58,7.86,9.44,6.88,5.88,7.93,0.04
