,0,1,2
0,Jerman 96 (13.62%)  Prancis 79 (11.21%)  Italia 76 (10.78%)  Spanyol 59 (8.37%)  Polandia 52 (7.38%)  Rumania 33 (4.68%)  Belanda 29 (4.11%)  Belgia 21 (2.98%)  Ceko 21 (2.98%)  Yunani 21 (2.98%)  Hongaria 21 (2.98%)  Portugal 21 (2.98%)  Swedia 21 (2.98%)  Austria 19 (2.70%)  Bulgaria 17 (2.41%)  Denmark 14 (1.99%)  Finlandia 14 (1.99%)  Slowakia 14 (1.99%)  Irlandia 13 (1.84%)  Kroasia 12 (1.70%)  Lituania 11 (1.56%)  Latvia 8 (1.13%)  Slovenia 8 (1.13%)  Estonia 7 (0.99%)  Siprus 6 (0.85%)  Luksemburg 6 (0.85%)  Malta 6 (0.85%),,
1,Jerman,,96 (13.62%)
2,Prancis,,79 (11.21%)
3,Italia,,76 (10.78%)
4,Spanyol,,59 (8.37%)
5,Polandia,,52 (7.38%)
6,Rumania,,33 (4.68%)
7,Belanda,,29 (4.11%)
8,Belgia,,21 (2.98%)
9,Ceko,,21 (2.98%)
10,Yunani,,21 (2.98%)
11,Hongaria,,21 (2.98%)
12,Portugal,,21 (2.98%)
13,Swedia,,21 (2.98%)
14,Austria,,19 (2.70%)
15,Bulgaria,,17 (2.41%)
16,Denmark,,14 (1.99%)
17,Finlandia,,14 (1.99%)
18,Slowakia,,14 (1.99%)
19,Irlandia,,13 (1.84%)
20,Kroasia,,12 (1.70%)
21,Lituania,,11 (1.56%)
22,Latvia,,8 (1.13%)
23,Slovenia,,8 (1.13%)
24,Estonia,,7 (0.99%)
25,Siprus,,6 (0.85%)
26,Luksemburg,,6 (0.85%)
27,Malta,,6 (0.85%)
