,N a m a   c a b a n g,S u b j e k   y a n g   d i p e l a j a r i
0,Agronomi,Tanaman budidaya
1,Anatomi,Struktur dalam tubuh mahluk hidup (tingkat organ dan sistem organ)
2,Andrologi,"Reproduksi pria (proses, hormon, kelainan, dan lain-lain)"
3,Astrobiologi,"Asal-usul, evolusi, penyebaran, dan masa depan kehidupan di alam semesta"
4,Bakteriologi,Kehidupan bakteri dan peranannya bagi kehidupan
5,Bioinformatika,"Pemanfaatan teknologi informasi untuk mempelajari dan menyimpan data biologi, misalnya genom"
6,Biologi evolusioner,"Poses evolusi, asal-usul, dan keturunan jenis-jenis makhluk hidup sepanjang waktu"
7,Biologi kelautan,"Ekosistem, tumbuhan, dan hewan laut"
8,Biologi molekuler,Penyusun tubuh mahluk hidup tingkat molekuler (tingkat molekul)
9,Biologi sintetis,Konstruksi biologi yang tidak ditemukan di alam
10,Biologi sistem,Pemodelan komputer dari sistem biologi
11,Biologi teoritis,Pemodelan matematika untuk fenomena biologi
12,Bioteknologi,Penerapan biologi untuk menghasikan produk guna meningkatkan kesejahteraan manusia
13,Biogeografi,"Distribusi (agihan, penyebaran) spesies di muka bumi, termasuk sejarahnya"
14,Biofisika,Proses biologi melalui metode yang digunakan dalam ilmu fisika
15,Biokimia,"Reaksi kimia dalam makhluk hidup, terutama dalam tingkat sel"
16,Biologi kuantum,Aaplikasi mekanika kuantum dan kimia teoritis pada objek dan permasalahan biologi
17,Botani,Tumbuhan
18,Briologi,Lumut
19,Dendrologi,"Pohon maupun tumbuhan berkayu lainnya, seperti liana"
20,Ekologi,Hubungan timbal balik antara makhluk hidup dengan lingkungannya
21,Embriologi,Perkembangan embrio
22,Entomologi,Serangga
23,Enzimologi,Enzim
24,Evolusi,Perubahan struktur tubuh makhluk hidup secara perlahan-lahan dalam jangka panjang
25,Epidemiologi,Pola distribusi penyakit
26,Eugenetika,Hukum-hukum pewarisan sifat
27,Endokrinologi,Hormon
28,Etnobiologi,Cara makhluk hidup diperlakukan atau digunakan oleh kebudayaan manusia
29,Fikologi,Alga/ganggang
30,Fisiologi,Faal atau fungsi kerja tubuh
31,Fisioterapi,Pengobatan terhadap penderita yang mengalami kelumpuhan atau gangguan otot
32,Farmakologi,Obat-obatan
33,Farmakognosi,"medikasi atau obat-obatan dari sumber alami seperti tumbuhan, hewan, atau mikrob[4]"
34,Filogeni,Hubungan di antara organisme yang dikaitkan dengan evolusi
35,Fotobiologi,Interaksi cahaya dan organisme hidup
36,Genetika,Pewarisan sifat
37,Gerontologi,Penuaan pada manusia
38,Histologi,Jaringan tubuh tumbuhan dan hewan
39,Hematologi,Darah
40,Higiene,Kesehatan makhluk hidup
41,Herpetologi,"Kehidupan hewan melata, yakni jenis-jenis reptilia dan amfibia"
42,Ilmu saraf,Sistem saraf
43,Imunologi,Sistem kekebalan (imun) tubuh
44,Iktiologi,Ikan
45,Kardiologi,Jantung dan pembuluh darah
46,Karsinologi,Krustasea (udang-udangan dan kepiting)
47,Limnologi,Perairan darat
48,Mamalogi,Mamalia
49,Mikologi,Fungi
50,Mikrobiologi,Mikroorganisme
51,Malakologi,Moluska
52,Morfologi,Bentuk atau ciri luar organisme
53,Neurologi,Penyimpangan pada sistem saraf
54,Nematologi,Nematoda
55,Neurofisika,Sistem saraf dalam tingkat molekul
56,Organologi,Organ tubuh
57,Onkologi,Kanker
58,Ontogeni,Perkembangan makhluk hidup dari zigot menjadi dewasa
59,Ornitologi,Burung
60,Osteologi,Tulang
61,Patologi,Penyakit dan pengaruhnya
62,Palaentologi,Fosil dan kaitannya dengan sejarah bumi
63,Paleobotani,Tumbuhan masa lampau
64,Paleozoologi,Hewan purba
65,Parasitologi,Parasit dan parasitisme
66,Protozoologi,Protozoa
67,Primatologi,Primata
68,Pulmonologi,Paru-paru
69,Radiologi,Pencitraan medis untuk mendiagnosis dan menyembuhkan penyakit
70,Rekayasa genetika,Manipulasi sifat genetik
71,Sanitasi,Kesehatan lingkungan
72,Sitologi,Sel
73,Taksonomi,Pengelompokan organisme
74,Teratologi,Cacat janin dalam kandungan
75,Virologi,Virus
76,Virofisika,Mekanika dan dinamika interaksi antara virus dan sel
77,Zoologi,Hewan
