,P e r i o d e,N a m a   R a j a,C a t a t a n   d a n   p e r i s t i w a   p e n t i n g
0,1528-1564,Sultan Alauddin Syah*,
1,1564-1570,Sultan Muzaffar Syah*,
2,1570-1597,Sultan Abdul Jalil Syah*,Serangan Portugal tahun 1587
3,1597-1615,Sultan Alauddin Syah II*,"Serangan Portugal tahun 1604, Membuat perjanjian dengan VOC tahun 1606"
4,1613-1615,Masa peralihan,Penaklukan Aceh tahun 1613
5,1615-1623,Sultan Abdullah Ma'ayat Syah,Dibawah pengaruh Aceh
6,1623-1673,Sultan Abdul Jalil Syah II,Melepaskan diri dari Aceh selepas mangkatnya Sultan Iskandar Muda
7,1673-1677,Masa peralihan,Penaklukan Jambi tahun 1673
8,1677-1685,Sultan Ibrahim Syah,
9,1685-1699,Sultan Mahmud Syah,
10,1699-1718,Masa peralihan,Klaim Raja Kecil sebagai pewaris sah tahta Johor
11,1718-1722,Raja Kecil,
12,1722-1728,Masa peralihan,"Pemberontakan Raja Sulaiman, Raja Kecil pindah ke Siak"
13,1728-1760,Raja Sulaiman,Bendahara Johor
14,1760-1770,Masa peralihan,Penaklukan Raja Ismail
15,1770-1779,Sultan Abdul Jalil Muazzam SyahRaja Muhammad Ali,Raja Siak
16,1779-1781,Raja Ismail,
17,1781-1791,Raja Yahya,
18,1791-1811,Sultan Sayyid Ali,
19,1811-1818,Sultan Sayyid Ibrahim,
20,1818-1819,Masa peralihan,"Siak melepas Johor, kemudian diperebutkan Inggris di Singapura dan Belanda di Tanjungpinang"
21,1819-1824,Sultan Abdul Rahman Muazzam Syah** Sultan Husain***,Johor diklaim oleh 2 raja
22,1824-1855,Masa peralihan,Johor menjadi jajahan Inggris****
23,1855-1862,Daeng Ibrahim,Tumenggung Johor*****
24,1862-1895,Sultan Abu Bakar ibni Daeng Ibrahim,
25,1895-1959,Sultan Ibrahim ibni Sultan Abu Bakar,"Kemerdekaan Malaysia, Johor menjadi bagian dari Malaysia"
26,1959-1981,Sultan Ismail ibni Sultan Ibrahim,
27,1981-2010,Sultan Iskandar ibni Sultan Ismail,
28,2010- sekarang,Sultan Ibrahim Ismail ibni Sultan Iskandar,
29,Catatan: * Berdasarkan Sulalatus Salatin versi Raffles. ** Raja Lingga dibawah perlindungan Belanda. *** Raja Singapura dibawah perlindungan Inggris. **** Pengaruh Perjanjian London tahun 1824. ***** Diangkat oleh Inggris menjadi raja di Johor.,Catatan: * Berdasarkan Sulalatus Salatin versi Raffles. ** Raja Lingga dibawah perlindungan Belanda. *** Raja Singapura dibawah perlindungan Inggris. **** Pengaruh Perjanjian London tahun 1824. ***** Diangkat oleh Inggris menjadi raja di Johor.,Catatan: * Berdasarkan Sulalatus Salatin versi Raffles. ** Raja Lingga dibawah perlindungan Belanda. *** Raja Singapura dibawah perlindungan Inggris. **** Pengaruh Perjanjian London tahun 1824. ***** Diangkat oleh Inggris menjadi raja di Johor.
