,T a h u n,P e n e r i m a [ A ],P e n e r i m a [ A ] . 1,N e g a r a [ B ],K a r y a   y a n g   D i b e r i   P e n g h a r g a a n [ C ]
0,1901,,Emil Adolf von Behring,Jerman,penemuan terapi serum untuk perawatan difteri[10]
1,1902,,Sir Ronald Ross,Britania RayaIndia,penelitian mengenai malaria[11]
2,1903,,Niels Ryberg Finsen,Denmark(Kepulauan Faroe),penemuan perawatan lupus vulgaris[12]
3,1904,,Ivan Petrovich Pavlov,Rusia,karya mengenai fisiologi sistem pencernaan[13]
4,1905,,Robert Koch,Jerman,penemuan penyebab tuberkulosis[14]
5,1906,,Camillo Golgi,Italia,penelitian mengenai sistem saraf[15]
6,1906,,Santiago Ramón y Cajal,Spanyol,penelitian mengenai sistem saraf[15]
7,1907,,Charles Louis Alphonse Laveran,Prancis,penemuan mengenai protozoa yang menyebabkan penyakit[16]
8,1908,,Ilya Ilyich Mechnikov,Rusia,karya mengenai sistem kekebalan[17]
9,1908,,Paul Ehrlich,Jerman,karya mengenai sistem kekebalan[17]
10,1909,,Emil Theodor Kocher,Swiss,"untuk karyanya pada fisiologi, patologi dan operasi kelenjar tiroid[18]"
11,1910,,Albrecht Kossel,Jerman,penelitian mengenai biologi sel terutama protein dan asam nukleat[19]
12,1911,,Allvar Gullstrand,Swedia,penelitian mengenai pembentukan citra pada lensa mata [20]
13,1912,,Alexis Carrel,Prancis,karya pada sutura pembuluh darah dan transplantasi[21]
14,1913,,Charles Richet,Prancis,penemuan anafilaksis[22]
15,1914,,Robert Bárány,Austria,penelitian apparatus vestibularis pada telinga dalam[23]
16,1915,Tidak diberikan,Tidak diberikan,Tidak diberikan,Tidak diberikan
17,1916,Tidak diberikan,Tidak diberikan,Tidak diberikan,Tidak diberikan
18,1917,Tidak diberikan,Tidak diberikan,Tidak diberikan,Tidak diberikan
19,1918,Tidak diberikan,Tidak diberikan,Tidak diberikan,Tidak diberikan
20,1919,,Jules Bordet,Belgia,penemuan sistem komplemen pada sistem kekebalan[24]
