,N o .,A r e a   b e b a s   r a b i e s,T a h u n   p e n e t a p a n,K e t e r a n g a n
0,1.0,"Provinsi Jawa Tengah, Jawa Timur, dan Daerah Istimewa Yogyakarta[2]",1997,-
1,2.0,"Provinsi DKI Jakarta, Banten, dan Jawa Barat[3]",2004,Pada tahun 2009 terjadi wabah di Provinsi Banten dan Jawa Barat[4] sehingga tinggal Provinsi DKI Jakarta yang tetap berstatus bebas rabies
2,3.0,Provinsi Kepulauan Bangka Belitung[5],2013,-
3,4.0,"Kabupaten Kepulauan Mentawai, Provinsi Sumatra Barat[6]",2015,-
4,5.0,"Kabupaten Kepulauan Meranti, Provinsi Riau[7]",2015,-
5,6.0,Provinsi Kepulauan Riau[8],2015,-
6,7.0,"Pulau Enggano, Kabupaten Bengkulu Utara, Provinsi Bengkulu[9]",2015,-
7,8.0,"Pulau Weh, Kota Sabang, Provinsi Aceh[10]",2016,-
8,9.0,"Pulau Pisang, Kabupaten Pesisir Barat, Provinsi Lampung[11]",2016,-
9,10.0,Provinsi Nusa Tenggara Barat[12],2017,Pada tahun 2019 terjadi wabah di Pulau Sumbawa[13] sehingga tinggal Pulau Lombok yang tetap berstatus bebas rabies
10,11.0,"Pulau Tarakan, Nunukan, dan Sebatik, Provinsi Kalimantan Utara[14]",2018,-
11,12.0,"Pulau Tabuan, Kabupaten Tanggamus, Provinsi Lampung[15]",2018,-
12,13.0,"Pulau Makalehi, Buhias, Pahepa, Tagulandang, Ruang, Biaro, Kabupaten Kepulauan Sitaro[16]",2019,-
13,14.0,Provinsi Papua[17],2019,-
