,M u s i m,A R S,C H E,L I V,M U N
0,2000–2001,2,6,3,1
1,2001–2002,1,6,2,3
2,2002–2003,2,4,5,1
3,2003–2004,1,2,4,3
4,2004–2005,2,1,5,3
5,2005–2006,4,1,3,2
6,2006–2007,4,2,3,1
7,2007–2008,3,2,4,1
8,2008–2009,4,3,2,1
9,2009–2010,3,1,7,2
10,Empat besar,10,8,7,10
11,dari 10,dari 10,dari 10,dari 10,dari 10
12,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} Juara liga Babak grup Liga Champions Babak kualifikasi ketiga / play-off Liga Champions Babak kualifikasi pertama Liga Champions Piala UEFA / Liga Eropa,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} Juara liga Babak grup Liga Champions Babak kualifikasi ketiga / play-off Liga Champions Babak kualifikasi pertama Liga Champions Piala UEFA / Liga Eropa,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} Juara liga Babak grup Liga Champions Babak kualifikasi ketiga / play-off Liga Champions Babak kualifikasi pertama Liga Champions Piala UEFA / Liga Eropa,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} Juara liga Babak grup Liga Champions Babak kualifikasi ketiga / play-off Liga Champions Babak kualifikasi pertama Liga Champions Piala UEFA / Liga Eropa,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{} Juara liga Babak grup Liga Champions Babak kualifikasi ketiga / play-off Liga Champions Babak kualifikasi pertama Liga Champions Piala UEFA / Liga Eropa
