,"D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g","D a t a   i k l i m   H o n g   K o n g   ( O b s e r v a t o r i u m   H o n g   K o n g ) ,   n o r m a l   1 9 8 1 – 2 0 1 0 ,   e k s t r i m   1 8 8 4 – 1 9 3 9   d a n   1 9 4 7 – s e k a r a n g"
0,Rekor tertinggi °C (°F),26.9 (80.4),28.3 (82.9),30.1 (86.2),33.4 (92.1),35.5 (95.9),35.6 (96.1),35.7 (96.3),36.3 (97.3),35.2 (95.4),34.3 (93.7),31.8 (89.2),28.7 (83.7),36.3 (97.3)
1,Rata-rata tertinggi °C (°F),18.6 (65.5),18.9 (66),21.4 (70.5),25.0 (77),28.4 (83.1),30.2 (86.4),31.4 (88.5),31.1 (88),30.1 (86.2),27.8 (82),24.1 (75.4),20.2 (68.4),25.6 (78.08)
2,Rata-rata harian °C (°F),16.3 (61.3),16.8 (62.2),19.1 (66.4),22.6 (72.7),25.9 (78.6),27.9 (82.2),28.8 (83.8),28.6 (83.5),27.7 (81.9),25.5 (77.9),21.8 (71.2),17.9 (64.2),23.24 (73.83)
3,Rata-rata terendah °C (°F),14.5 (58.1),15.0 (59),17.2 (63),20.8 (69.4),24.1 (75.4),26.2 (79.2),26.8 (80.2),26.6 (79.9),25.8 (78.4),23.7 (74.7),19.8 (67.6),15.9 (60.6),21.37 (70.46)
4,Rekor terendah °C (°F),0.0 (32),2.4 (36.3),4.8 (40.6),9.9 (49.8),15.4 (59.7),19.2 (66.6),21.7 (71.1),21.6 (70.9),18.4 (65.1),13.5 (56.3),6.5 (43.7),4.3 (39.7),0 (32)
5,Curah hujan mm (inci),24.7 (0.972),54.4 (2.142),82.2 (3.236),174.7 (6.878),304.7 (11.996),456.1 (17.957),376.5 (14.823),432.2 (17.016),327.6 (12.898),100.9 (3.972),37.6 (1.48),26.8 (1.055),"2.398,4 (94,425)"
6,Rata-rata hari hujan (≥ 0.1 mm),5.37,9.07,10.90,12.00,14.67,19.07,17.60,16.93,14.67,7.43,5.47,4.47,137.65
7,% kelembapan,74,80,82,83,83,82,81,81,78,73,71,69,78.0
8,Rata-rata sinar matahari bulanan,143.0,94.2,90.8,101.7,140.4,146.1,212.0,188.9,172.3,193.9,180.1,172.2,"1.835,6"
9,Kemungkinan sinar matahari (persen),42,29,24,27,34,36,51,47,47,54,54,51,42
10,Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82],Sumber: Hong Kong Observatory[79][80][81][82]
