,N e g a r a,P e r s e n t a s e   p o p u l a s i   y a n g   t i d a k   b e r a g a m a   ( 2 0 0 6 ),S u m b e r
0,Ceko,46-85 (rata-rata 65.5),[3]
1,Estonia,64.3,[4]
2,Belanda,46.1-81 (rata-rata 63.55),[3][4]
3,Vietnam,43-80 (rata-rata 61.5),[3]
4,Korea Selatan,60,[5][6][7]
5,Jerman,59,[8]
6,Swedia,39-65 (rata-rata 52),[9]
7,Britania Raya,51.8,[4]
8,Jepang,51,[10]
9,Tiongkok,8-93 (rata-rata 50.5),[3][4][11]
10,Albania,49,[3]
11,Azerbaijan,43-54 (rata-rata 48.5),[3]
12,Selandia Baru,48.1,[4]
13,Rusia,47.8,[4]
14,Belarus,28–60 (rata-rata 44),[3]
15,Uruguay,42.6,[4]
16,Prancis,42.4,[4]
17,Kuba,39-44 (rata-rata 41.5),[3][12]
18,Finlandia,40.6,[4]
19,Hongaria,36.4,[4]
20,Islandia,35.4,[4]
21,Latvia,34.7 (dari 87.3% yang menjawab pertanyaan opsional),[13]
22,Chili,34.6,[14]
23,Belgia,33.8,[4]
24,Australia,29.9,[4]
25,Bulgaria,29.9,[4]
26,Luksemburg,23.3,[15]
27,Slovenia,23.1,[4]
28,Spanyol,22.3,[16]
