,0,1,2
0,"Untuk tingkatan yang lebih kecil dari atom, lihat Partikel subatom","Untuk tingkatan yang lebih kecil dari atom, lihat Partikel subatom","Untuk tingkatan yang lebih kecil dari atom, lihat Partikel subatom"
1,Tingkat aselulerdanpraseluler,Atom,
2,Tingkat aselulerdanpraseluler,Molekul,Kumpulan atom
3,Tingkat aselulerdanpraseluler,Kompleks biomolekuler,Kumpulan (bio)molekul
4,Tingkat subseluler,Organel,"Kumpulan biomolekul yang memiliki fungsi, serta reaksi dan interaksi biokimia"
5,Tingkat seluler,Sel,Unit dasar semua kehidupan dan kumpulan organel
6,Tingkat superseluler(multiselular),Jaringan,Kumpulan sel yang memiliki fungsi
7,,Organ,Kumpulan jaringan yang memiliki fungsi
8,,Sistem organ,Kumpulan organ yang memiliki fungsi
9,Tingkat ekologis,Organisme,"Sistem kehidupan dasar, kelompok fungsional dari komponen di bawahnya, paling tidak terdiri atas satu sel"
10,Tingkat ekologis,Populasi,Kelompok organisme dari spesies yang sama
11,Tingkat ekologis,Komunitas atau biosenosis,Beberapa kelompok populasi yang saling berinteraksi
12,Tingkat ekologis,Ekosistem,Kelompok organisme dari semua domain biologis dalam hubungannya dengan lingkungan fisik (abiotik)
13,Tingkat ekologis,Bioma,Pengelompokan ekosistem dalam skala benua (secara iklim dan geografis berdekatan dengan kondisi iklim yang sama).
14,Tingkat ekologis,Biosfer atau ekosfer,Semua kehidupan di Bumi ditambah lingkungan fisik (abiotik)[3]
15,"Untuk tingkatan yang lebih besar dari biosfer atau ekosfer, lihat Lokasi Bumi di alam semesta","Untuk tingkatan yang lebih besar dari biosfer atau ekosfer, lihat Lokasi Bumi di alam semesta","Untuk tingkatan yang lebih besar dari biosfer atau ekosfer, lihat Lokasi Bumi di alam semesta"
