,0,1
0,Kota utama,Kuala Lumpur
1,Hari Kebangsaan,31 Agustus 1957
2,Semboyan,Bersekutu Bertambah Mutu
3,Benua,"Asia, Asia Tenggara"
4,Koordinat Geografi,"2 30 U, 112 30 T"
5,Hujan tahunan,2000 ~ 2500 mm
6,Iklim,Tropis dengan suhu 24–35° Celsius
7,Bunga resmi,Bunga raya
8,Binatang resmi,Harimau
9,Puncak tertinggi,"Gunung Kinabalu, Pegunungan Crocker (4175m)"
10,Puncak tertinggi di semenanjung,"Gunung Tahan, Pegunungan Tahan (2187 m)"
11,Pegunungan terpanjang,Pegunungan Titiwangsa (500 km)
12,Sungai terpanjang,"Sungai Rajang, Sarawak (563 km)"
13,Sungai terpanjang di semenanjung,Sungai Pahang (475 km)
14,Jembatan terpanjang,Jembatan Sultan Abdul Halim Muadzam Shah (Jembatan Pulau Pinang 2) (24 km)
15,Gua terbesar,"Gua Mulu dan Gua Niah, Sarawak"
16,Bangunan tertinggi,Menara Kembar Petronas (452m)
17,Negara bagian terbesar,Sarawak (124.450 km persegi)
18,Negara bagian terkecil,Perlis (810 km persegi)
19,Tempat paling lembap,Bukit Larut (lebih 5080 mm)
20,Tempat paling kering,Kuala Pilah (kurang dari 1524 mm)
21,Kawasan paling padat,"Kuala Lumpur (6074/km², 15.543/mil persegi)"
22,Penanaman ekspor utama,Minyak sawit dan getah
