,N e g a r a   b a g i a n [ 4 1 ],P r o t e s t a n i s m e,K a t o l i k,T i d a k   B e r a g a m a,I s l a m,L a i n n y a
0,Baden-Württemberg,37.6%,40.6%,16.4%,2.5%,3.0%
1,Bavaria,23.4%,58.6%,15.6%,1.1%,1.3%
2,Brandenburg,24.9%,3.5%,69.9%,0.0%,1.5%
3,Bremen,51.8%,7.8%,39.1%,0.0%,1.3%
4,Berlin Timur,14.3%,7.5%,74.3%,1.5%,2.4%
5,Berlin Barat,32.0%,12.4%,43.5%,8.5%,3.5%
6,Hamburg,34.3%,9.0%,44.1%,10.9%,1.7%
7,Hesse,50.2%,21.7%,22.2%,3.8%,2.1%
8,Niedersachsen,53.8%,18.7%,24.1%,2.5%,0.9%
9,Mecklenburg-Vorpommern,24.9%,3.9%,70.0%,0.3%,0.9%
10,Nordrhein-Westfalen,30.9%,44.6%,18.1%,4.4%,2.0%
11,Rhineland-Palatinate,34.8%,42.4%,19.6%,1.0%,2.1%
12,Saarland,22.3%,68.1%,8.2%,1.4%,0.0%
13,Saxony,27.6%,4.0%,66.9%,0.3%,1.1%
14,Saxony-Anhalt,18.8%,5.1%,74.7%,0.3%,1.2%
15,Schleswig-Holstein,61.5%,3.2%,31.3%,2.2%,1.7%
16,Thuringia,27.8%,9.5%,61.2%,0.0%,1.5%
17,Jerman,34.5%,32.2%,29.0%,2.5%,1.8%
