,T a h u n,P e r i o d e,P e r i o d e . 1,S u b p e r i o d e,P e m e r i n t a h a n
0,30.000 SM–10.000 SM,Paleolitik Jepang,Paleolitik Jepang,,tidak diketahui
1,10.000 SM–3000 SM,Jepang kuno,Jōmon,,klan-klan lokal
2,900 SM-250 SM (tumpang tindih),Jepang kuno,Yayoi,,klan-klan lokal
3,sekitar 250 Masehi-538 Masehi,Jepang kuno,Yamato,Kofun,klan Yamato
4,538-710 Masehi,Jepang klasik,Yamato,Asuka,klan Yamato
5,710-794,Jepang klasik,Nara,,Istana kekaisaran di Nara
6,794-1185,Jepang klasik,Heian,,Istana kekaisaran di Heian
7,1185-1333,zaman feodal,Kamakura,,Keshogunan Kamakura
8,1333-1336,zaman feodal,Restorasi Kemmu,,Kaisar Jepang
9,1336-1392,zaman feodal,Muromachi,Nanboku-cho,"Keshogunan Ashikaga, Oda Nobunaga, Toyotomi Hideyoshi"
10,1392-1573,zaman feodal,Muromachi,zaman Sengoku,"Keshogunan Ashikaga, Oda Nobunaga, Toyotomi Hideyoshi"
11,1573-1603,zaman feodal,Azuchi-Momoyama,zaman Sengoku,"Keshogunan Ashikaga, Oda Nobunaga, Toyotomi Hideyoshi"
12,1600-1867,awal zaman modern di Jepang,Edo,,Keshogunan Tokugawa
13,1868-1912,Japan zaman modern,Meiji,,monarki terbatas (Kaisar Meiji)
14,1912-1926,Japan zaman modern,Taishō,Demokrasi Taisho,monarki terbatas (Kaisar Taishō)
15,1926-1945,Japan zaman modern,Shōwa,Ekspansionisme,monarki terbatas (Kaisar Shōwa)
16,1945-1952,Japan zaman modern,Shōwa,Jepang zaman pendudukan Sekutu,Komandan Tertinggi Sekutu
17,1952-1989,Japan zaman modern,Shōwa,Pascapendudukan Sekutu,"demokrasi parlementer, Kaisar Jepang sebagai simbol negara"
18,1989-2019,Japan zaman modern,Heisei,,"demokrasi parlementer, Kaisar Jepang sebagai simbol negara"
19,2019-sekarang,Japan zaman modern,Reiwa,,"demokrasi parlementer, Kaisar Jepang sebagai simbol negara"
