,F i r a u n,n a m a   H o r u s,P e m e r i n t a h a n   ( K r o n o l o g i   k o n v e n s i o n a l ),P e m e r i n t a h a n K r o n o l o g i   b a r u ) [ 2 ],P a s a n g a n   h i d u p,K o m e n t a r
0,Shoshenq I,Hedjkheperre-Setepenre,943–922 SM,798 SM,Patareshnes Karomama A,"kemungkinan raja Sisak yang tercatat dalam Alkitab, tetapi dibantah oleh David Rohl.[2]"
1,Osorkon I,Sekhemkheperre-Setepenre,922–887 SM,,Maatkare B Tashedkhonsu Shepensopdet A,
2,Shoshenq II,Heqakheperre-Setepenre,887–885 SM,770-767,Nesitanebetashru Nesitaudjatakhet,memerintah secara independen selama 2 tahun di Tanis menurut Von Beckerath;Sezaman dengan Osorkon II menurut David Rohl[2]
3,Takelot I,Hedjkheperre-Setepenre,885–872 SM,787-778 SM,Kapes,
4,Osorkon II,Usermaetre-Setepenamun,872–837 SM,784-761 SM,Isetemkheb G Karomama B Djedmutesankh,"seorang sekutu Israel yang memerangi Shalmaneser III dari Asyur pada pertempuran Qarqar tahun 853 SM, menurut kronologi konvensional."
5,Shoshenq III,Usermaetre-Setepenre,837–798 SM,761-722,Tadibast II Tentamenopet Djedbastiusankh,
6,"Shoshenq (IV)""quartus""",Hedjkheperre-Setepenre,798–785 SM,722-709 SM,,"tidak sama dengan Shoshenq VI, yang ditulis sebagai Shoshenq IV pada publikasi-publikasi sebelum tahun 1993; juga disebut Shoshenq IB"
7,Pami,Usermaetre-Setepenamun,785–778 SM,,,menguburkan dua Apis bull selama pemerintahannya
8,Shoshenq V,Akheperre,778–740 SM,,,
9,Pedubast II,Sehetepibenre,740–730 SM,,Tadibast III,Tidak disebut dalam semua daftar raja
10,Osorkon IV,Akheperre-Setepenamun,730–716 SM,,,"Tidak selalu dicatat sebagai anggota sejati Dinasti XXII, tetapi menggantikan Shoshenq V di Tanis. Dianggap sama dengan Firaun So di Alkitab."
