,L e t u s a n,T a h u n,T i n g g i   a s a p   ( k m ),V E I,P e r u b a h a n   m u s i m   p a n a s   B e l a h a n   b u m i   u t a r a   ( ° C ),K e m a t i a n
0,Taupo,181,51,7,?,tidak diketahui
1,Baekdu,969,25,6–7,?,?
2,Kuwae,1452,?,6,"−0,5",?
3,Huaynaputina,1600,46,6,"−0,8",≈1400
4,Tambora,1815,43,7,"−0,5",> 71.000
5,Krakatau,1883,25,6,"−0,3",36.600
6,Santamaría,1902,34,6,tidak terdapat perubahan,7.000-13.000
7,Katmai,1912,32,6,"−0,4",2
8,Gunung St. Helens,1980,19,5,tidak terdapat perubahan,57
9,El Chichón,1982,32,4–5,?,> 2.000
10,Nevado del Ruiz,1985,27,3,tidak terdapat perubahan,23.000
11,Pinatubo,1991,34,6,"−0,5",1202
12,"Sumber: Oppenheimer (2003),[4] dan Smithsonian Global Volcanism Program untuk VEI.[24]","Sumber: Oppenheimer (2003),[4] dan Smithsonian Global Volcanism Program untuk VEI.[24]","Sumber: Oppenheimer (2003),[4] dan Smithsonian Global Volcanism Program untuk VEI.[24]","Sumber: Oppenheimer (2003),[4] dan Smithsonian Global Volcanism Program untuk VEI.[24]","Sumber: Oppenheimer (2003),[4] dan Smithsonian Global Volcanism Program untuk VEI.[24]","Sumber: Oppenheimer (2003),[4] dan Smithsonian Global Volcanism Program untuk VEI.[24]"
