,"D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]","D a t a   i k l i m   D e t r o i t   ( D T W ) ,   1 9 8 1 – 2 0 1 0   n o r m a l s , [ a ]   e k s t r i m   1 8 7 4 – s e k a r a n g [ b ]"
0,Rekor tertinggi °F (°C),67 (19),70 (21),86 (30),89 (32),95 (35),104 (40),105 (41),104 (40),100 (38),92 (33),81 (27),69 (21),105 (41)
1,Rata-rata tertinggi °F (°C),32.0 (0),35.2 (1.8),45.8 (7.7),59.1 (15.1),69.9 (21.1),79.3 (26.3),83.4 (28.6),81.4 (27.4),74.0 (23.3),61.6 (16.4),48.8 (9.3),36.1 (2.3),59.0 (15)
2,Rata-rata harian °F (°C),25.6 (−3.6),28.1 (−2.2),37.2 (2.9),49.2 (9.6),59.7 (15.4),69.4 (20.8),73.6 (23.1),72.0 (22.2),64.4 (18),52.4 (11.3),41.5 (5.3),30.1 (−1.1),50.4 (10.2)
3,Rata-rata terendah °F (°C),19.1 (−7.2),21.0 (−6.1),28.6 (−1.9),39.4 (4.1),49.4 (9.7),59.5 (15.3),63.9 (17.7),62.6 (17),54.7 (12.6),43.3 (6.3),34.3 (1.3),24.1 (−4.4),41.8 (5.4)
4,Rekor terendah °F (°C),−21 (−29),−20 (−29),−4 (−20),8 (−13),25 (−4),36 (2),42 (6),38 (3),29 (−2),17 (−8),0 (−18),−11 (−24),−21 (−29)
5,Presipitasi inci (mm),1.96 (49.8),2.02 (51.3),2.28 (57.9),2.90 (73.7),3.38 (85.9),3.52 (89.4),3.37 (85.6),3.00 (76.2),3.27 (83.1),2.52 (64),2.79 (70.9),2.46 (62.5),33.47 (850.1)
6,Curah salju inci (cm),12.5 (31.8),10.2 (25.9),6.9 (17.5),1.7 (4.3),trace,0 (0),0 (0),0 (0),0 (0),0.1 (0.3),1.5 (3.8),9.6 (24.4),42.5 (108)
7,Rata-rata hari hujan atau bersalju (≥ 0.01 in),13.1,10.6,11.7,12.2,12.1,10.2,10.4,9.6,9.5,9.8,11.6,13.7,134.5
8,Rata-rata hari bersalju (≥ 0.1 in),10.4,8.3,5.4,1.6,0,0,0,0,0,0.2,2.3,8.5,36.7
9,% kelembapan,74.7,72.5,70.0,66.0,65.3,67.3,68.5,71.5,73.4,71.6,74.6,76.7,71.0
10,Rata-rata sinar matahari bulanan,119.9,138.3,184.9,217.0,275.9,301.8,317.0,283.5,227.6,176.0,106.3,87.7,"2.435,9"
11,Kemungkinan sinar matahari (persen),41,47,50,54,61,66,69,66,61,51,36,31,55
