,0,1,2
0,Charles III dari Britania Raya Wangsa WindsorLahir: 14 November 1948,Charles III dari Britania Raya Wangsa WindsorLahir: 14 November 1948,Charles III dari Britania Raya Wangsa WindsorLahir: 14 November 1948
1,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
2,Didahului oleh:Elizabeth II,Raja Britania Raya8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
3,Didahului oleh:Elizabeth II,Raja Australia8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
4,Didahului oleh:Elizabeth II,Monarki Kanada8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
5,Didahului oleh:Elizabeth II,Raja Selandia Baru8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
6,Didahului oleh:Elizabeth II,Raja Jamaika8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
7,Didahului oleh:Elizabeth II,Raja Bahama8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
8,Didahului oleh:Elizabeth II,Raja Grenada8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
9,Didahului oleh:Elizabeth II,Raja Papua Nugini8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
10,Didahului oleh:Elizabeth II,Raja Kepulauan Solomon8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
11,Didahului oleh:Elizabeth II,Raja Tuvalu8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
12,Didahului oleh:Elizabeth II,Raja Saint Lucia8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
13,Didahului oleh:Elizabeth II,Raja Saint Vincent dan Grenadines8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
14,Didahului oleh:Elizabeth II,Raja Belize8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
15,Didahului oleh:Elizabeth II,Raja Antigua dan Barbuda8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
16,Didahului oleh:Elizabeth II,Raja Saint Kitts dan Nevis8 September 2022–sekarang,PetahanaPewaris tahta:Pangeran Wales
17,Britania,Britania,Britania
18,LowongTerakhir dijabat olehEdward VIII,Pangeran Wales26 Juli 1958–8 September 2022,Diteruskan oleh:Pangeran William
19,LowongTerakhir dijabat olehEdward VIII,Adipati CornwallAdipati Rothesay6 Februari 1952–8 September 2022,Diteruskan oleh:Pangeran William
20,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
21,Didahului oleh:Pangeran Philip,Adipati Edinburgh9 April 2021–8 September 2022,Diteruskan oleh:Digabungkan dengan sang Mahkota
22,Jabatan akademik,Jabatan akademik,Jabatan akademik
23,Didahului oleh:Earl Mountbatten dari Burma,Presiden United World College1978–1995,Diteruskan oleh:Ratu Noor dari Yordania
24,Didahului oleh:Ibu Suri Elizabeth,Presiden Royal College of Music1993–sekarang,Petahana
25,Urutan protokoler,Urutan protokoler,Urutan protokoler
26,Didahului oleh:Pertama,Urutan presedensi di Britania RayaYM Raja,Diteruskan oleh:Pangeran Wales
27,Didahului oleh:Pertama,,
