,T a h u n A k h i r,K a p a s i t a s T o t a l,I n s t a l a s i T a h u n a n,P a n g s a   k e b u t u h a n   l i s t r i k   n a s i o n a l
0,1992,19.0,,
1,1993,24.3,5.3,
2,1994,31.2,6.9,
3,1995,43.4,12.2,
4,1996,59.6,16.2,
5,1997,91.3,31.7,
6,1998,133,41.7,
7,1999,209,76,
8,2000,330,121,
9,2001,453,123,
10,2002,637,184,
11,2003,860,223,
12,2004,1132,272,
13,2005,1422,290,
14,2006,1709,287,
15,2007,1919,210,
16,2008,2144,225,
17,2009,2627,483,
18,2010,3618,991,0.3%[6]
19,2011,4914,1296,0.5%[7]
20,2012,6632,1718,0.7%[8]
21,2013,13599,6967,1.4%[9]
22,2014,23339,9740,2.4%[10]
23,2015,34150,10811,3.5%[11]
24,2016[4],42750,8600,4.9%[4]
25,2017[5],49750,7000,5.9%[12]
26,2018[13],56000,6500,6.8%[14]
27,2019[15],61526,,7.6%[15]
28,2020[15],67000,,
29,Sumber: EPIA dan IEA-PVPS. Semua angka kapasitas nominal diubah kembali dari WAC ke Wp.[16][17],Sumber: EPIA dan IEA-PVPS. Semua angka kapasitas nominal diubah kembali dari WAC ke Wp.[16][17],Sumber: EPIA dan IEA-PVPS. Semua angka kapasitas nominal diubah kembali dari WAC ke Wp.[16][17],
