,N e g a r a / t e r i t o r i,L u a s   w i l a y a h ( k m ² ) [ 5 ],P e n d u d u k [ n o t e   1 ],P o p .   k e p a d a t a n ( p e r   k m ² ),B a h a s a   ( b a h a s a   r e s m i   d i   c e t a k   t e b a l ),I b u   k o t a,P D B   ( G D P   ( N o m i n a l ) )   U S D   p a d a   t a h u n   2 0 1 4 [ 1 ] [ 6 ],P D B   ( P P P )   U S D   p a d a   t a h u n   2 0 1 4 [ 1 ] [ 7 ]
0,Anguilla (Britania Raya),,,,English,The Valley,,
1,Antigua dan Barbuda,,,,"Kreol,[8] English",St. John's,,
2,Argentina,,,,Spanyol,Buenos Aires,,
3,Aruba (Belanda),,,,"Papiamentu, Spanyol,[9] Dutch",Oranjestad,,
4,"Bahamas, The",,,,"Kreol,[10] English",Nassau,,
5,Barbados,,,,"Bajan,[11] English",Bridgetown,,
6,Belize,,,,"Spanyol, Kreol, English[12]",Belmopan,,
7,Bermuda (Britania Raya),,,,English,Hamilton,,
8,Bolivia,,,,Spanyol dan 36 bahasa asli,La Paz and Sucre[13],,
9,Bonaire (Belanda),,,,"Papiamentu, Spanyol, Belanda[14]",Kralendijk,,
10,Brazil,,,,Portugis,Brasília,,
11,Kepulauan Virgin Britania Raya (Britania Raya),,,,English,Road Town,,
12,Kanada,,,,"English, Prancis",Ottawa,,
13,Kepulauan Cayman (Britania Raya),,,,English,George Town,,
14,Chili[15],,,,Soanyol,Santiago,,
15,Pulau Clipperton (Prancis),[16],[17],,Tidak berpenghuni,—,,
16,Kolombia,,,,Spanyol,Bogotá,,
17,Kosta Rika,,,,Spanyol,San José,,
18,Kuba,,,,Spanyol,Havana,,
19,Curaçao (Belanda),,,,"Papiamentu, Belanda[14]",Willemstad,,
20,Dominika,,,,"Patoi Prancis, English[18]",Roseau,,
21,Republik Dominika,,,,Spanyol,Santo Domingo,,
22,Ekuador,,,,"Spanyol, Quechua[19]",Quito,,
23,El Salvador,,,,Spanyol,San Salvador,,
24,Kepulauan Falkland (Britania Raya)[20],,,,English,Stanley,,
25,Guyana Prancis (Prancis),,,,Prancis,Cayenne,,
26,Greenland (Denmark),,,,"Greenlandic, Danish",Nuuk (Godthåb),,
27,Grenada,,,,English,St. George's,,
28,Guadeloupe (Prancis),,,,Prancis,Basse-Terre,,
29,Guatemala,,,,"Spanyol, Garifuna dan 23 bahasa Maya",Guatemala City,,
30,Guyana,,,,English,Georgetown,,
31,Haiti,,,,"Kreol Haiti, Prancis",Port-au-Prince,,
32,Honduras,,,,Spanyol,Tegucigalpa,,
33,Jamaika,,,,"Patois, English",Kingston,,
34,Martinik (Prancis),,,,"Patois,[21] Prancis",Fort-de-France,,
35,Meksiko,,,,"Spanyol, 68 bahasa asli daerah",Kota Meksiko,,
36,Montserrat (Britania Raya),,,,"Kreol English, English[22]",Plymouth; Brades[23],,
37,Pulau Navassa (Amerika Serikat),[16],[17],,Tidak berpenghuni,—,,
38,Nikaragua,,,,Spanyol,Managua,,
39,Panama,,,,Spanyol,Kota Panama,,
40,Paraguay,,,,"Guaraní, Spanyol",Asunción,,
41,Peru,,,,"Spanyol, Quechua, Aymara",Lima,,
42,Puerto Riko (Amerika Serikat),,,,"Spanyol, English",San Juan,,
43,Saba (Belanda),,[24],,"English, Belanda",The Bottom,,
44,Saint-Barthélemy (Prancis),[16],[17],,Prancis,Gustavia,,
45,Saint Kitts dan Nevis,,,,English,Basseterre,,
46,Saint Lucia,,,,"English, Kreol Prancis",Castries,,
47,Saint Martin (France),[16],,,Prancis,Marigot,,
48,Saint Pierre dan Miquelon (Prancis),,,,Prancis,Saint-Pierre,,
49,Saint Vincent dan Grenadine,,,,English,Kingstown,,
50,Sint Eustatius (Belanda),,[24],,"Belanda, English",Oranjestad,,
51,Sint Maarten (Belanda),,,,"English, Spanyol, Belanda",Philipsburg,,
52,Georgia Selatan danKepulauan Sandwich Selatan (UK)[25],,,,English,Grytviken,,
53,Suriname,,,,Belanda dan lainnya[26],Paramaribo,,
54,Trinidad dan Tobago,,,,English,Port of Spain,,
55,Kepulauan Turks dan Caicos (Britania Raya),,,,"Kreol English, English[27]",Cockburn Town,,
56,Amerika Serikat[note 2],,,,"English, Spanyol","Washington, D.C.",,
57,Kepulauan Virgin Amerika Serikat (Amerika Serikat),,,,"English, Spanyol",Charlotte Amalie,,
58,Uruguay,,,,Spanyol,Montevideo,,
59,Venezuela,,,,Spanyol dan 40 bahasa asli,Caracas,,
60,Total,,,,,,,
