,N e g a r a / r e g i o n,D e   j u r e,D e   j u r e,C a t a t a n
0,Algeria,18[2],18[2],
1,Angola,18[butuh rujukan],18[butuh rujukan],Tidak ada undang-undang yang melarang penjualan alkohol kepada anak di bawah umur.
2,Benin,20,20,
3,Botswana,18[2],18[2],"Setiap orang yang memiliki lisensi minuman keras dilarang menjual atau memasok minuman beralkohol kepada anak di bawah umur di bawah 18 tahun. Karena undang-undang ini hanya berlaku untuk pemegang lisensi, maka tidak ada larangan bagi anak di bawah umur untuk membeli, mengonsumsi, atau memiliki minuman beralkohol. Juga dilarang bagi siapa pun untuk mengekspos atau memberikan alkohol kepada anak di bawah umur di bawah 18 tahun"
4,Burundi,18[2],18[2],Tidak ada batas selama didampingi orang tua
5,Cameroon,18[2],21[2],"18 on the premises, 21 off the premises"
6,Cape Verde,18[2],18[2],
7,Central African Republic,18[2],18[2],
8,Chad,18,18,
9,Comoros,None[2],None[2],
10,Egypt,"18 (bir), 21 (wine/spirit)[2][3]","18 (bir), 21 (wine/spirit)[2][3]",
11,Equatorial Guinea,None[2],None[2],
12,Eritrea,18[2],18[2],
13,Ethiopia,18[2],18[2],
14,Gabon,18[2],18[2],Ilegal untuk dikonsumsi Muslim
15,Gambia,18[2],18[2],Ilegal untuk dikonsumsi Muslim
16,Ghana,18[4],18[4],
17,Guinea-Bissau,None[2],None[2],
18,Kenya,18[2],18[2],
19,Lesotho,18[2],18[2],
20,Libya,Illegal[2],Illegal[2],
21,Malawi,18[4],18[4],
22,Mauritius,18[2],18[2],
23,Morocco,None[2],16[2],
24,Mozambique,18[2],18[2],
25,Namibia,18[2],18[2],
26,Niger,18[2],18[2],
27,Nigeria,18[2],18[2],
28,Republic of the Congo,18[2],18[2],
29,Rwanda,18[2],18[2],
30,Seychelles,18[2],18[2],
31,Somalia,None [5],None [5],
32,South Africa,18[2],18[2],"Wali orang tua, orang dewasa di bawah umur atau orang yang bertanggung jawab untuk pemberian sakramen agama, mungkin pada kesempatan pasokan untuk kecil yang jumlah moderat minuman keras untuk dikonsumsi oleh anak di bawah umur di hadapan dan di bawah pengawasan orang tua itu, wali atau orang lainnya.[6]"
33,South Sudan,18[7],18[7],
34,Swaziland,None[2],18[2],
35,Sudan,Illegal[8],Illegal[8],
36,Tanzania,18[9],18[9],
37,Togo,None[2],None[2],
38,Uganda,18[2],18[2],
39,Tunisia,18[2],18[2],
40,Zambia,18[2],18[2],
41,Zimbabwe,18[2],18[2],
