,T a n g g a l,N a m a,C a t a t a n
0,1 Januari,Tahun Baru,Merayakan awal tahun.
1,6 Januari,"Epifani, Hari 3 Majus","Hari raya Katolik, biasanya hadiah diberikan kepada anak-anak."
2,21 Januari,Hari Nuestra Señora de la Altagracia,Hari libur Katolik untuk menghormati pelindung orang Dominika.
3,26 Januari,Hari Juan Pablo Duarte,"Menghormati Duarte, salah satu bapak bangsa negeri ini. Apabila tanggal ini tidak jatuh pada hari Senin, hari raya ini diperingati di Senin berikutnya."
4,27 Februari,Hari Kemerdekaan,Memperingati Kemerdekaan Dominika dari Haiti.
5,(Maret-April),Jumat Agung,"Hari raya Katolik; bervariasi, diperingati pada bulan Maret atau April."
6,1 Mei,Hari Buruh,"Memperingati prestasi buruh. Bila tanggal ini tidak jatuh pada hari Senin, perayaan ini dilakukan di Senin berikutnya."
7,(Juni,Hari Raya Corpus Christi,"Hari raya Katolik; bervariasi, diperingati pada hari Kamis bulan Juni."
8,16 Agustus,Hari Restorasi,"Memperingati Restorasi Republik. Apabila tanggal ini tidak jatuh pada hari Senin, hari raya ini diperingati di Senin berikutnya, kecuali jika ada perubahan dari pemerintah."
9,24 September,Nuestra Señora de las Mercedes,Hari raya Katolik untuk memperingati pelindung Republik Dominika .
10,6 November,Hari Konstitusi,"Memperingati Konstitusi Dominika. Jika tidak jatuh pada hari Senin, hari raya ini diperingati di Senin berikutnya."
11,25 Desember,Natal,"Untuk orang Kristen, menandai kelahiran Yesus menurut agama Kristen. Banyak orang, baik yang Kristen maupun bukan, memperingati Kristen sebagai hari libur perdamaian, persahabatan, dan saling memberi hadiah di musim dingin."
