,P e n g u a s a,M e m e r i n t a h,C a t a t a n
0,Sri-Gupta I,240 - 290 M,Pendiri dinasti. Bergelar Raja Gupta
1,Ghatotkacha,290 - 320 M,
2,Chandra-Gupta I,320 - 325 M,"Gelarnya Maharajadhiraja (""raja raja besar"") menunjukkan bahwa ia adalah kaisar pertama dinasti. Tidak pasti bagaimana ia mengubah kerajaan leluhur kecilnya menjadi sebuah kerajaan, meskipun teori yang diterima secara luas di kalangan sejarawan modern adalah bahwa pernikahannya dengan putri Lichchhavi Kumaradevi membantunya memperluas kekuatan politiknya."
3,Samudra-Gupta,325 - 375 M,"Mengalahkan beberapa raja di India utara, dan menganeksasi wilayah mereka ke kerajaannya. Dia juga berbaris di sepanjang pantai tenggara India, maju hingga kerajaan Pallava . Selain itu, ia menaklukkan beberapa kerajaan perbatasan dan oligarki suku. Kerajaannya membentang dari Sungai Ravi di barat ke Sungai Brahmaputra di timur, dan dari kaki bukit Himalaya di utara ke India tengah di barat daya; beberapa penguasa di sepanjang pantai tenggara adalah anak-anak sungainya."
4,Kacha,Abad ke-4,"Saingan saudara / raja, mungkin perampas, ada koin yang membuktikan dia sebagai penguasa; mungkin identik dengan Samudra-Gupta ."
5,Rama-Gupta,375 - 380 M,
6,Chandra-Gupta II Vikramaditya,380 - 415 M,"Melanjutkan kebijakan ekspansionis ayahnya Samudragupta : bukti sejarah menunjukkan bahwa ia mengalahkan Kshatrapas Barat , dan memperluas kerajaan Gupta dari Sungai Indus di barat ke wilayah Bengal di timur, dan dari kaki bukit Himalaya di utara ke Narmada Sungai di selatan."
7,Kumara-Gupta I,415 - 455 M,"Dia tampaknya telah mempertahankan kendali atas wilayah warisannya, yang membentang dari Gujarat di barat ke wilayah Bengal di timur."
8,Skanda-Gupta,455 - 467 M,"Dikatakan bahwa ia memulihkan kekayaan keluarga Gupta yang telah jatuh, yang telah menimbulkan saran bahwa selama tahun-tahun terakhir pendahulunya, Kekaisaran mungkin telah mengalami pembalikan, mungkin terhadap Pushyamitras atau Hunas . Dia umumnya dianggap sebagai yang terakhir dari Kaisar Gupta yang agung."
9,Puru-Gupta,467 - 472 M,
10,Kumara-Gupta II Kramaditya,472 - 479 M,
11,Buddha-Gupta,479 - 496 M,Dia memiliki hubungan dekat dengan para penguasa Kannauj dan bersama-sama mereka berusaha mengusir Hunas Alchon (Hunas) dari dataran subur India Utara.
12,Narasimha-Gupta Baladitya,496 - 530 M,
13,Kumara-Gupta III,530 - 540 M,
14,Wisnu-Gupta Candraditya,540 - 570 M,
