,T a n g g a l,K e k u a t a n,S e b u t a n,K a n j i,R ō m a j i,E p i s e n t e r,K o r b a n   J i w a,K e t e r a n g a n
0,29 November 68426 November 684KJ,8.4 MK (skala Kawasumi)[7],Gempa bumi Hakuhō Nankai,白鳳南海地震,Hakuhō Nankai jishin,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}32°48′N 134°18′E﻿ / ﻿32.8°N 134.3°E",,"Berbagai referensi memperkirakan kekuatan gempa antara 8,0–8,4 dengan kerusakan yang ""parah"". Ada pula sumber yang mencatat waktu terjadinya gempa pada tanggal 14 Oktober (tidak benar) dan 24 November.[8]"
1,1 September 1923,8.3 ML,Gempa bumi besar Kantō 1923,大正関東地震（関東大震災）,Taishō Kantō jishin(Kantō daishinsai),Pulau Izu Ōshima,[9],"Gempa ini mengguncang dataran Kantō di Pulau Honshū pada pukul 11.58 waktu setempat. Beberapa catatan menyebut gempa ini terjadi selama 4–10 menit. Episenternya berada jauh di bawah Pulau Izu Ōshima di Teluk Sagami. Gempa ini menimbulkan kerusakan besar di wilayah Kantō yang meliputi Tokyo, Yokohama, serta prefektur di sekitarnya, yaitu Chiba, Kanagawa, dan Shizuoka.[10] Kekuatan dan intensitas gempa ini mungkin tidak terlalu signifikan, tetapi nyatanya dapat menggerakkan patung Buddha Raksasa seberat 93 ton di Kōtoku-in, Kamakura, sejauh hampir 60 cm.[11] Diperkirakan ada 142.800 korban jiwa, termasuk sekitar 40.000 orang hilang yang dianggap tewas."
2,2 Maret 1933,8.4 Mw,Gempa bumi Sanriku 1933,昭和三陸地震,Shōwa Sanriku Jishin,"Prefektur Iwate, Tōhoku",1.522,Tsunami mengancurkan pesisir Utara Jepang
3,20 Desember 1946,8.1 Mw,Gempa bumi Nankai 1946,昭和南海地震,Shōwa Nankai jishin,"Kyushu, Honshu",1362,Tsunami
4,28 Juni 1948,7.3 Mw,Gempa bumi Fukui 1948,福井地震,Fukui Jishin,Prefektur Fukui,3.769,
5,17 Januari 1995,7.3 Mw,Gempa bumi besar Hanshin,兵庫県南部地震（阪神・淡路大震災）,Hyōgo-ken nanbu jishin(Hanshin-Awaji daishinsai),Ujung utara Pulau Awaji,,"Gempa ini terjadi pada pukul 05.46 JST di bagian selatan Prefektur Hyōgo dengan kekuatan Mw 6,8 pada skala kekuatan momen USGS dan MJ 7,3 pada skala magnitudo revisi Badan Meteorologi Jepang (7,2 pada skala lama).[12][13] Gempa ini terjadi selama kira-kira 20 detik. Pusat gempa terletak 16 km di bawah episenternya, ujung utara Pulau Awaji, yang berjarak 20 km dari Kobe.[13]"
6,23 Oktober 2004,6.8 Mw,Gempa bumi Chūetsu 2004,中越地震,Chūetsu jishin,Prefektur Niigata,68,
7,11 Maret 2011,9.1 Mw,Gempa bumi Tōhoku 2011,東北地方太平洋沖地震（東日本大震災）,Tōhoku-chihō taiheiyō oki jishin(Higashi Nihon daishinsai),"38°30′36″N 142°47′31″E﻿ / ﻿38.510°N 142.792°E, kedalaman 29 km",,"Pusat gempa dorongan kuat yang terjadi pukul 14.46 JST ini terletak di Semenanjung Oshika, pantai timur wilayah Tōhoku.[14] Gempa ini adalah gempa terkuat yang pernah mengguncang Jepang dan salah satu yang terdahsyat di dunia sejak dimulainya aktivitas pencatatan gempa.[15][16][17] Gempa ini diikuti tsunami dengan ketinggian mencapai 10 m yang menyebabkan puluhan ribu orang tewas serta kerusakan parah pada bangunan dan infrastruktur yang memicu bencana nuklir Fukushima Daiichi.[15]"
8,16 April 2016,7.0 Mw,Gempa bumi Kumamoto 2016,平成28年（2016年）熊本地震,Heisei-28-nen (2016-nen) Kumamoto jishin,"Kyushu, Prefektur Kumamoto",41,
9,22 November 2016,6.9 Mw,Gempa bumi Fukushima 2016,福島県沖地震,Fukushima-ken oki jishin,"37°23′31″N 141°24′11″E﻿ / ﻿37.392°N 141.403°E, kedalaman 11,4 km",,"Gempa yang terjadi pukul 05.59 JST ini berasal dari 37 km arah timur-tenggara Namie, Fukushima.[18]"
10,18 Juni 2018,5.5 Mw,Gempa bumi Osaka 2018,大阪府北部地震,Ōsaka-fu Hokubu Jishin,"Prefektur Osaka, Kansai",5,
11,6 September 2018,6.6 Mw,Gempa bumi Iburi Timur Hokkaido 2018,北海道胆振東部地震,Hokkaido Iburi Tōbu Jishin,"Subprefektur Iburi, Hokkaido",35,
12,13 Februari 2022,7.1 Mw,Gempa bumi Fukushima 2021,福島県沖地震,Fukushima-ken Oki Jishin,"Prefektur Fukushima, Tōhoku",1,
13,16 Maret 2022,7.3 Mw,Gempa bumi Fukushima 2022,福島県沖地震,Fukushima-ken Oki Jishin,"Prefektur Fukushima, Tōhoku",4,
