,G i z i,S a t u a n,M a s a   P e r t u m b u h a n d a n   R e p r o d u k s i ( M i n i m u m ),M a s a   D e w a s a ( M i n i m u n ),M a k s i m u m,F u n g s i,T a n d a - t a n d a   K e k u r a n g a n / K e l e b i h a n
0,Protein,%,30.0,26.0,,,
1,Arginina,%,1.25,1.04,,,
2,Histidina,%,0.31,0.31,,,
3,Isoleusina,%,0.52,0.52,,,
4,Leusina,%,1.25,1.25,,,
5,Lisina,%,1.20,0.83,,,
6,Metionina + Sisteina,%,1.10,1.10,,,
7,Metionina,%,0.62,0.62,1.50,,
8,Fenilalanina + Tirosina,%,0.88,0.88,,,
9,Fenilalanina,%,0.42,0.42,,,
10,Treonina,%,0.73,0.73,,,
11,Triptofan,%,0.25,0.16,,,
12,Valina,%,0.62,0.62,,,
13,Lemak,%,9.0,9.0,,,
14,Asam linolenat,%,0.5,0.5,,,
15,Asam arakidonat,%,0.02,0.02,,,
16,Mineral,Mineral,Mineral,Mineral,Mineral,Mineral,Mineral
17,Kalsium,%,1.0,0.6,,Pembentukan tulang dan gigi Koagulasi darah Transmisi impuls saraf Kontraksi otot Pensinyalan sel,"Kekurangan Hiperparatiroidisme sekunder Hilangnya kandungan mineral tulang, yang dapat menyebabkan keroposan dan kelengkungan pada tulang belakang (tulang pinggang dan panggul) Nyeri pada tulang, yang dapat berlanjut menjadi fraktur patologis Kelebihan Tertekannya asupan makanan Menurunya pertumbuhan Peningkatan kepadatan mineral tulang Peningkatan kebutuhan magnesium"
18,Fosfor,%,0.8,0.5,,Struktur rangka Struktur DNA dan RNA Metabolisme energi Lokomosi Keseimbangan asam-basa,Kekurangan Anemia hemolitik Gangguan lokomotor Asidosis metabolik
19,Kalium,%,0.6,0.6,,Keseimbangan asam-basa Transmisi saraf-impuls Reaksi enzimatik Fungsi transportasi,"Kekurangan Anoreksia Pertumbuhan yang lamban Gangguan neurologis, termasuk ataksia dan kelemahan otot yang parah"
20,Sodium,%,0.2,0.2,,Keseimbangan asam-basa Regulasi tekanan osmotik Generasi dan transmisi impuls saraf,Kekurangan Anoreksia Gangguan pertumbuhan Minum dan haus berlebihan Buang air kecil yang berlebihan
21,Klorin/Khlorida,%,0.3,0.3,,"Keseimbangan asam-basa Osmolaritas, cairan ekstraseluler",Kekurangan Peningkatan kadar natrium dalam cairan ginjal Kelebihan ekskresi kalium
22,Magnesium,%,0.08,0.04,,Fungsi enzim Otot dan kestabilan membran sel saraf Hormon dan fungsi sekresi Struktur mineral tulang dan gigi,"Kekurangan Pertumbuhan yang buruk Terlalu luasnya sendi carpal Otot berkedut Konvulsi/kejang- kejang Kelebihan Pembentukan batu ginjal pada saluran kemih, karena tingginya kandungan pH"
23,Zat besi,mg/kg,80.0,80.0,,Sintesis pada hemoglobin dan mioglobin Metabolisme energi,Kekurangan Pertumbuhan menjadi buruk Membran mukosa menjadi pucat Keletihan Kelemahan Diare Kelebihan Muntah dan diare
