,B e n t u k   k a t a,B a h a s a   y a n g   d i g u n a k a n
0,meow,Inggris
1,meo,Vietnam[4]
2,meow,Tamil
3,miaou,Prancis
4,miau,"Belarusia, Bulgaria, Kroasia, Finlandia, Jerman, Hungaria, Ido, Interlingua, Lituania, Melayu, Polandia, Portugis, Romania, Rusia, Spanyol, dan Ukrainia"
5,miauw,Belanda
6,miao (喵),Mandarin dan Italia
7,miyav,Turki
8,miav,Denmark
9,mjau,Norwegia dan Swedia
10,miaŭ,Esperanto
11,miyāʾūṉ (میاؤں),Urdu[5]
12,mjá,Islandia
13,mňau,Ceko
14,ngeung,Kapampangan[6]
15,njäu,Estonia
16,niau,Ukrainia
17,niaou (νιάου),Yunani[7]
18,nyā (ニャー),Jepang
19,ya-ong (야옹),Korea
20,myau (מיאו),Ibrani
21,mjau (мјау),Serbia
