,B a h a n,S u d u t   t e n a n g   ( d e r a j a t )
0,Abu kayu,40°
1,Aspal,30–45°
2,Serpihan kulit kayu (wood refuse),45°
3,Bekatul,30–45°
4,Kapur,45°
5,Tanah liat (kering),25–40°
6,Tanah liat (basah),15°
7,Biji semanggi,28°
8,Kelapa parut,45°
9,Biji kopi segar,35–45°
10,Tanah,30–45°
11,Tepung jagung,30-40°
12,Tepung terigu,45°
13,Granit,35–40°
14,Kerikil (kering),30–45°
15,Kerikil (di alam bersama pasir),25–30°
16,Malt,30–45°
17,Pasir (kering),34°
18,Pasir (basah),45°
19,Salju,38° [3]
20,Urea (butiran),27° [5]
21,Gandum,28°
