,G e n u s,S u b g e n u s,S p e s i e s,I n a n g
0,Alphacoronavirus,Colacovirus,Bat coronavirus CDPHE15,kelelawar
1,Alphacoronavirus,Decacovirus,Bat coronavirus HKU10,kelelawar
2,Alphacoronavirus,Decacovirus,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,kelelawar
3,Alphacoronavirus,Duvinacovirus,Human coronavirus 229E,"manusia, kelelawar, unta"
4,Alphacoronavirus,Luchacovirus,Lucheng Rn rat coronavirus,rodensia
5,Alphacoronavirus,Minacovirus,Mink coronavirus 1,"mink, ferret"
6,Alphacoronavirus,Minunacovirus,Miniopterus bat coronavirus 1,kelelawar
7,Alphacoronavirus,Minunacovirus,Miniopterus bat coronavirus HKU8,kelelawar
8,Alphacoronavirus,Myotacovirus,Myotis ricketti alphacoronavirus Sax-2011,kelelawar
9,Alphacoronavirus,Nyctacovirus,Nyctalus velutinus alphacoronavirus SC-2013,kelelawar
10,Alphacoronavirus,Nyctacovirus,Pipistrellus kuhlii coronavirus 3398,kelelawar
11,Alphacoronavirus,Pedacovirus,Porcine epidemic diarrhea virus,babi
12,Alphacoronavirus,Pedacovirus,Scotophilus bat coronavirus 512,kelelawar
13,Alphacoronavirus,Rhinacovirus,Rhinolophus bat coronavirus HKU2,kelelawar
14,Alphacoronavirus,Setracovirus,Human coronavirus NL63,manusia
15,Alphacoronavirus,Setracovirus,NL63-related bat coronavirus strain BtKYNL63-9b,kelelawar
16,Alphacoronavirus,Soracovirus,Sorex araneus coronavirus T14,celurut
17,Alphacoronavirus,Sunacovirus,Suncus murinus coronavirus X74,celurut
18,Alphacoronavirus,Tegacovirus,Alphacoronavirus 1,"anjing, kucing, babi"
19,Betacoronavirus,Embecovirus,Betacoronavirus 1,"manusia, sapi, kuda, babi"
20,Betacoronavirus,Embecovirus,China Rattus coronavirus HKU24,rodensia
21,Betacoronavirus,Embecovirus,Human coronavirus HKU1,manusia
22,Betacoronavirus,Embecovirus,Murine coronavirus,rodensia
23,Betacoronavirus,Embecovirus,Myodes coronavirus 2JL14,vole
24,Betacoronavirus,Hibecovirus,Bat Hp-betacoronavirus Zhejiang2013,kelelawar
25,Betacoronavirus,Merbecovirus,Hedgehog coronavirus 1,landak susu
26,Betacoronavirus,Merbecovirus,Middle East respiratory syndrome-related coronavirus,"manusia, unta"
27,Betacoronavirus,Merbecovirus,Pipistrellus bat coronavirus HKU5,kelelawar
28,Betacoronavirus,Merbecovirus,Tylonycteris bat coronavirus HKU4,kelelawar
29,Betacoronavirus,Nobecovirus,Eidolon bat coronavirus C704,kelelawar
30,Betacoronavirus,Nobecovirus,Rousettus bat coronavirus GCCDC1,kelelawar
31,Betacoronavirus,Nobecovirus,Rousettus bat coronavirus HKU9,kelelawar
32,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,"manusia, kelelawar, tenggiling, Viverridae, Canidae, Felidae"
33,Gammacoronavirus,Brangacovirus,Goose coronavirus CB17,itik
34,Gammacoronavirus,Cegacovirus,Beluga whale coronavirus SW1,paus
35,Gammacoronavirus,Igacovirus,Avian coronavirus,burung
36,Gammacoronavirus,Igacovirus,Avian coronavirus 9203,burung
37,Gammacoronavirus,Igacovirus,Duck coronavirus 2714,itik
38,Deltacoronavirus,Andecovirus,Wigeon coronavirus HKU20,burung
39,Deltacoronavirus,Buldecovirus,Bulbul coronavirus HKU11,burung
40,Deltacoronavirus,Buldecovirus,Common moorhen coronavirus HKU21,burung
41,Deltacoronavirus,Buldecovirus,Coronavirus HKU15,babi
42,Deltacoronavirus,Buldecovirus,Munia coronavirus HKU13,burung
43,Deltacoronavirus,Buldecovirus,White-eye coronavirus HKU16,burung
44,Deltacoronavirus,Herdecovirus,Night heron coronavirus HKU19,burung
