,0,1,2
0,Daftar menurut Dana Moneter Internasional (2022)[1],Daftar menurut Dana Moneter Internasional (2022),Daftar menurut Dana Moneter Internasional (2022)
1,Rank Negara/Teritori PDB KKB per Kapita (dalam Int$) 1  Luksemburg 140.694 2  Singapura 131.580 3  Irlandia 124.596 4  Qatar 112.789 5  Makau 85.612 6  Swiss 84.658 7  Uni Emirat Arab 78.255 8  Norwegia 77.808 9  Amerika Serikat 76.027 10  Brunei Darussalam 74.953 11  Hong Kong 70.448 12  San Marino 70.139 13  Denmark 69.273 14  Taiwan 68.730 15  Belanda 68.572 16  Austria 64.751 17  Islandia 64.621 18  Andorra 63.600 19  Jerman 63.271 20  Swedia 62.926 21  Australia 61.941 22  Belgia 61.587 23  Finlandia 58.010 24  Kanada 57.812 25  Bahrain 57.424 26  Perancis 56.036 27  Arab Saudi 55.368 28  Britania Raya 55.301 29  Malta 54.647 30  Korea Selatan 53.051 31  Kuwait 50.919 32  Selandia Baru 50.411 33  Italia 50.216 34  Israel 50.204 35  Jepang 48.814 36  Slovenia 48.534 37  Siprus 48.443 38  Republik Ceko 47.527 39  Lithuania 46.479 40  Spanyol 46.413 41  Estonia 44.778 42  Puerto Riko 42.579 43  Polandia 41.685 44  Hungaria 40.944 45  Portugal 40.805 46  Bahama 40.274 47  Aruba 39.508 48  Slowakia 38.620 49  Guyana 38.258 50  Turki 37.488 51  Latvia 37.330 52  Romania 36.622 53  Kroasia 36.201 54  Panama 36.085 55  Yunani 35.596 56  Oman 35.286 57  Seychelles 35.272 58  Malaysia 32.901 59  Kazakhstan 30.502 60  Rusia 30.013 61  Trinidad dan Tobago 29.884 62  Maladewa 29.133 63  Bulgaria 28.593 64  Chili 28.526 65  Saint Kitts dan Nevis 27.608,Rank Negara/Teritori PDB KKB per Kapita (dalam Int$) 66  Uruguay 26.663 67  Argentina 25.822 68  Mauritius 25.043 69  Montenegro 24.878 70  Kosta Rika 24.490 71  Republik Dominika 23.983 72  Serbia 23.904 73  Meksiko 22.216 74  Antigua dan Barbuda 21.890 75  Belarus 21.686 76  Republik Rakyat Tiongkok 21.364 77  Thailand 21.057 78  Makedonia Utara 19.726 79  Botswana 19.287 80  Guinea Khatulistiwa 19.306 81  Turkmenistan 18.857 82  Georgia 18.594 83  Libya 18.345 84  Iran 18.332 85  Grenada 18.293 86  Kolombia 18.225 87  Gabon 17.848 88  Bosnia dan Herzegovina 17.471 89  Barbados 17.408 90  Albania 17.383 91  Suriname 17.308 92  Brazil 17.208 93  Azerbaijan 17.153 94  Moldova 16.719 95  Saint Lucia 16.509 96  Armenia 15.818 97  Saint Vincent dan Grenadine 15.505 98  Sri Lanka 15.387 99  Afrika Selatan 15.361 100  Peru 15.035 101  Mesir 14.928 102  Indonesia 14.535 103  Dominika 14.491 104  Paraguay 14.430 105  Ukraina 14.325 106  Kosovo 13.694 107  Palau 13.652 108  Fiji 13.598 109  Mongolia 13.350 110  Aljazair 13.002 111  Bhutan 12.967 112  Vietnam 12.881 113  Ekuador 12.664 114  Tunisia 12.300 115  Irak 12.141 116  Lebanon 12.035 117  Yordania 11.861 118  Jamaika 11.802 119  Nauru 10.750 120  El Salvador 10.581 121  Namibia 10.448 122  Eswatini 10.411 123  Filipina 10.237 124  Guatemala 9.911 125  Bolivia 9.856 126  Uzbekistan 9.243 127  Laos 9.184 128  Maroko 9.041 129  India 8.358 130  Tanjung Verde 7.740,Rank Negara/Teritori PDB KKB per Kapita (dalam Int$) 131  Angola 7.360 132  Belize 7.147 133  Nikaragua 7.071 134  Mauritania 6.920 135  Tonga 6.783 136  Ghana 6.754 137  Honduras 6.740 138  Djibouti 6.667 139  Bangladesh 6.633 140  Pakistan 6.470  Suriah[n 1] 6.374 141  Pantai Gading 6.345 142  Palestina[n 2] 6.243 143  Kenya 6.061 144  Venezuela 5.949 145  Samoa 5.935 146  Nigeria 5.853 147  Tuvalu 5.798 148  Kirgistan 5.562 149  Kamboja 5.493 150  Myanmar 4.776 151  Sao Tome dan Principe 4.681 152  Tajikistan 4.630 153  Nepal 4.578 154  Kongo 4.578 155  Sudan 4.442 156  Kamerun 4.398 157  Papua Nugini 4.299 158  Kepulauan Marshall 4.192 159  Benin 4.137 160  Senegal 4.093 161  Zambia 3.776 162  Federasi Mikronesia 3.650 163  Ethiopia 3.407 164  Tanzania 3.358 165  Komoro 3.355 166  Timor-Leste 3.339 167  Haiti 3.189 168  Lesotho 3.034 169  Guinea 3.029 170  Uganda 2.961 171  Vanuatu 2.851 172  Rwanda 2.808 173  Guinea-Bissau 2.784 174  Burkina Faso 2.663 175  Gambia 2.646 176  Togo 2.599 177  Mali 2.575 178  Zimbabwe 2.523 179  Afghanistan 2.456 180  Kepulauan Solomon 2.385 181  Kiribati 2.148 182  Eritrea 2.101 183  Yaman 2.078 184  Sierra Leone 1.958 185  Liberia 1.779 186  Madagaskar 1.778 187  Chad 1.705 188  Malawi 1.603 189  Mozambik 1.439 190  Niger 1.435 191  Somalia 1.322 192  Republik Demokratik Kongo 1.316 193  Republik Afrika Tengah 1.102 194  Sudan Selatan 928 195  Burundi 856
2,Rank,Negara/Teritori,PDB KKB per Kapita (dalam Int$)
3,1,Luksemburg,140.694
4,2,Singapura,131.580
5,3,Irlandia,124.596
6,4,Qatar,112.789
7,5,Makau,85.612
8,6,Swiss,84.658
9,7,Uni Emirat Arab,78.255
