,"D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )","D a t a   i k l i m   S t   P i e r r e   d a n   M i q u e l o n   ( r a t a - r a t a   1 9 8 1 – 2 0 1 0 ,   e k s t r e m   1 9 4 1 – s e k a r a n g )"
0,Rekor tertinggi °C (°F),9.8 (49.6),9.4 (48.9),12.2 (54),13.8 (56.8),22.0 (71.6),25.1 (77.2),28.3 (82.9),26.2 (79.2),26.8 (80.2),20.1 (68.2),15.1 (59.2),12.8 (55),28.3 (82.9)
1,Rata-rata tertinggi °C (°F),−0.1 (31.8),−0.7 (30.7),1.0 (33.8),4.3 (39.7),8.5 (47.3),12.5 (54.5),16.7 (62.1),18.7 (65.7),16.0 (60.8),11.2 (52.2),6.8 (44.2),2.7 (36.9),8.2 (46.8)
2,Rata-rata harian °C (°F),−2.6 (27.3),−3.2 (26.2),−1.4 (29.5),2.0 (35.6),5.6 (42.1),9.6 (49.3),14.1 (57.4),16.2 (61.2),13.5 (56.3),8.9 (48),4.5 (40.1),0.4 (32.7),5.7 (42.3)
3,Rata-rata terendah °C (°F),−5.2 (22.6),−5.7 (21.7),−3.7 (25.3),−0.4 (31.3),2.8 (37),6.7 (44.1),11.5 (52.7),13.8 (56.8),11.0 (51.8),6.6 (43.9),2.3 (36.1),−1.9 (28.6),3.2 (37.8)
4,Rekor terendah °C (°F),−17.4 (0.7),−18.7 (−1.7),−18.1 (−0.6),−9.8 (14.4),−4.5 (23.9),0.8 (33.4),4.9 (40.8),5.8 (42.4),1.7 (35.1),−2.6 (27.3),−9.2 (15.4),−14.6 (5.7),−18.7 (−1.7)
5,Presipitasi mm (inci),102.3 (4.028),101.0 (3.976),100.8 (3.969),97.6 (3.843),102.6 (4.039),103.7 (4.083),99.5 (3.917),93.3 (3.673),141.4 (5.567),135.9 (5.35),133.9 (5.272),114.7 (4.516),"1.326,7 (52,232)"
6,Rata-rata hari hujan,3.03,4.07,5.17,8.83,12.87,14.60,18.50,11.27,6.33,4.13,4.70,3.53,97.03
7,Rata-rata hari bersalju,22.63,19.00,15.25,7.36,0.89,0.04,0.0,0.0,0.0,1.00,4.40,3.20,73.77
8,Rata-rata sinar matahari bulanan,49.6,70.2,115.5,131.9,165.8,172.6,164.8,173.5,156.1,119.0,63.0,45.4,"1.427,3"
9,Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41],Sumber: Météo France[39][40] (Averages are for the period 1981–2010.)[41]
