,N e g a r a,P o p u l a s i [ 9 ],B a h a s a   S p a n y o l   s e b a g a i   b a h a s a   a s l i [ 1 0 ],P e n u t u r   a s l i   a t a u   b u k a n   p e n u t u r   a s l i   y a n g   f a s i h [ 1 1 ],T o t a l   j u m l a h   p e n u t u r   b a h a s a   S p a n y o l   ( t e r m a s u k   p e n u t u r   y a n g   b e l u m / t i d a k   f a s i h ) [ 1 1 ] [ 1 2 ] [ 1 3 ]
0,Meksiko,"124,737,789[14]",115.631.930 (92.7%)[15],122.866.722 (98.5%)[13],122.866.722 (98.5%)[13]
1,Amerika Serikat,"323,127,515[16]","40,489,813[17] (13.3%)[18]","42,926,496[19] (82%[20] dari 57,4 juta Hispanik[21] + 2,8 juta non-Hispanik[22])","58,008,778[19] (40,5 juta sebagai penutur asli, 15 juta sebagai non-penutur asli,[23] 7,8 juta pelajar[12] dan berkisar 9 juta Hispanik yang tidak terdokumentasi, tidak terhitung/dihitung oleh Sensus[24])[25][26][27][28][29][30]"
2,Kolombia,"49,775,000[31]","48,925,000 (850,000 dengan bahasa asli lainnya)[32]","49,376,800 (99.2%)[13]","49,376,800 (99.2%)[13]"
3,Spanyol,"46,698,569[33]","43.009.382 (92,1%)[19]",46.138.186 (98.8%)[13],46.138.186 (98.8%)[13]
4,Argentina,"44,494,502[34][36]","42,062,795 (95.5%)[37]",43.780.542 (99.4%)[13],43.780.542 (99.4%)[13]
5,Venezuela,"31,828,110[38]","30.729.866 (1,098,244 dengan bahasa asli lainnya)[39]",31.466.173 (98.8%)[13],31.466.173 (98.8%)[13]
6,Peru,"32,162,184[40]",27.048.397 (84.1%)[41][42],28.945.966 (86.6%)[13],28.945.966 (86.6%)[13]
7,Chile,"18,275,530[43]","17,993,930 (281,600 dengan bahasa asli lainnya)[44]",18.147.601 (99.3%)[13],18.147.601 (99.3%)[13]
8,Ekuador,"16,674,000[45]","14,700,000[46]",16.357.194 (98.1%)[13],16.357.194 (98.1%)[13]
9,Guatemala,"16,945,000[9]",10.167.000 (60%)[47],14.640.480 (86.4%)[13],14.640.480 (86.4%)[13]
10,Kuba,"11,559,000[9]","11,559,000[48]",11.489.646 (99.4%)[13],11.489.646 (99.4%)[13]
11,Republik Dominika,"10,819,000[9]","9,300,000[49]",10.775.724 (99.6%)[13],10.775.724 (99.6%)[13]
12,Bolivia,"11,145,770[50]",6.464.547 (58%)[51],9.797.132 (87.9%)[13],9.797.132 (87.9%)[13]
13,Honduras,"8,866,351[52]","8,658,501 (207,750 dengan bahasa asli lainnya)[53]",8.777.687 (99.0%)[13],8.777.687 (99.0%)[13]
